Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Has the pupil been adopted from care?,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc?,English & maths GCSEs A*-C?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc,Achieved Maths EBacc,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,KS2 English level (finely graded),KS2 Mathematics level (finely graded),KS2 English TA level,KS2 Mathematics TA level,KS2 English PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Entered all three core science pathway subjects,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,'EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,'EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,'EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,M,,15,401,1,732855686,,72a1a05d-44be-4ac6-b6d5-91e7a2ab0522,N,0,0,0,0,1,4,WBRI,0,0,Y,,9,8,1,1,1,,1,1,1,,1,,,1,,4.66,5.68,5,4,21,27,5,9,12,5,5,5,5,5,6,57,2,3,-1,-1,0,16,-1,16,0,14,4,,7,2,3,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,765631423,,bcdf3af5-8f58-46d4-b6c1-aab13efcd92f,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,1,,5.61,4.56,5,4,31,31,5,15,15,9,7,7,9,8,7,79,3,3,1,0,0,24,1,25,1,23,3,,7,7,6,6,0,6,1,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,719198294,,5f27a8e4-36e8-4ca3-8ac3-22705f674944,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,12,12,1,1,1,1,1,1,1,1,1,1,1,1,,3.72,5.58,4,4,25,26,5,13,15,8,7,7,8,8,7,76,3,3,0,0,0,22,0,23,1,20,4,,7,7,4,6,0,6,2,,,0,0,0,0,0,0
,,,,F,,15,401,1,782758042,,a4d641b5-0ab7-4691-99db-3a8300718e0f,N,0,0,0,0,1,2,APKN,0,0,Y,Y,10,9,1,1,1,1,1,1,1,,1,,,1,,5.29,5.83,4,5,34,34,5,13,7,4,3,5,5,5,2,48,3,2,0,0,0,12,0,15,0,13,2,,3,5,2,5,0,4,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,681254683,,c25b4006-5535-4a36-97b0-0a6d3b48195a,N,0,0,0,0,1,2,WBRI,0,0,Y,Y,9,8,1,1,1,,1,1,1,1,1,1,1,1,,4.86,4.75,3,3,18,15,4,10,13,5,6,5,5,5,5,61,2,3,0,0,0,14,0,15,0,12,1,,5,3,5,,,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,722161910,,e3798e6e-b802-4e5e-9881-d8f8a53eae85,N,0,0,0,0,2,2,WBRI,0,0,,Y,8,10,1,1,1,1,,,1,1,,1,,,,2.5,5.83,4,5,23,28,4,12,6,7,6,4,4,4,5,44,3,2,0,0,0,21,1,12,0,16,0,,5,7,1,4,0,4,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,540399045,,c89d7df4-75f3-4f0a-9c8c-ea33e8a6be5a,N,0,0,0,0,1,3,AOTH,0,0,Y,,8,10,1,1,1,1,1,1,,,,1,,,,5.03,5.38,3,4,15,17,4,11,11,2,4,3,3,4,5,40,2,2,0,0,0,6,0,11,0,12,1,,4,6,4,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,770079661,,f803dcc2-7055-4f7b-9482-ef681b33e6c1,N,0,0,0,0,2,2,APKN,0,0,,,7,6,1,1,,1,,,,,,,,,,4.31,4.84,3,2,29,22,4,15,10,4,4,4,7,5,3,61,2,2,0,0,0,11,0,16,0,19,2,,3,7,0,,,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,800631512,,67cb3e7e-a4c4-4dd5-956c-a3d9bf598713,N,0,0,0,0,2,3,WIRI,0,0,,,11,10,1,1,1,1,,,1,,,,,,,4.9,5.08,3,3,12,9,4,14,14,8,7,7,8,7,7,73,3,3,2,1,2,24,2,23,2,20,3,,7,6,0,3,1,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,0,638291010,,f5fea0a2-284a-4487-98e6-eb192dc3bbcc,N,0,0,0,0,1,4,WBRI,0,0,,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,13,18,,13,15,7,7,7,7,6,6,74,3,3,,,,22,,21,,21,1,,7,8,9,,,6,0,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,753852857,,c010905d-967f-4d84-9102-a63af56f06d6,N,0,0,0,1,1,1,MWBA,0,0,Y,,6,7,1,1,,,,,,,,,,,,3.22,5.68,,2,26,26,3,5,3,1,0,0,2,1,0,5,1,2,-1,-1,-1,1,-2,3,-2,4,3,,0,1,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,784683196,,d50d007d-8dd6-4362-8fd7-1a5680e05fe0,N,0,0,0,0,1,3,WBRI,0,0,,,9,7,1,1,1,1,1,1,1,1,,1,,,,5.58,5,4,5,30,30,5,11,9,6,3,4,8,5,5,66,3,3,0,0,0,17,0,20,0,20,1,,4,3,1,6,0,5,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,749479627,,c2741997-4f37-4383-a874-f80cdcfa78f2,N,0,0,0,0,1,3,APKN,0,0,Y,,11,10,1,1,1,1,1,1,1,1,1,1,1,1,,5.1,5.63,6,5,35,35,5,11,16,9,7,7,9,7,4,78,3,3,1,0,1,24,2,24,0,24,2,,7,6,7,7,1,6,1,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,577096580,,048210af-12d3-4c6c-be7e-77d25afda808,N,0,0,0,0,1,3,WBRI,0,0,,,6,6,1,1,,,1,1,,1,1,,,,,4.83,5.38,4,4,27,28,4,10,7,3,3,1,4,4,3,38,2,2,-1,-1,0,9,-1,12,0,11,1,,2,1,5,,,,,5,-1,0,0,0,0,0,0
,,,,F,,15,401,1,748170983,,dfdc06e3-90ee-4681-bed4-b047b662638e,N,1,0,0,1,1,1,APKN,0,0,,,7,8,1,1,,,,,,,,,,,,3.89,3.18,4,5,33,33,3,7,4,3,3,1,4,3,3,24,2,2,0,-1,-1,8,0,10,0,4,8,,1,2,0,4,0,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,803771641,,968d2739-19b7-4406-a067-dc1c88510415,N,0,0,0,0,1,1,WBRI,0,0,Y,Y,9,8,1,1,1,1,1,1,,,,,1,1,,5.81,5.96,2,5,35,35,5,14,9,4,6,5,6,5,3,53,2,2,0,0,-1,15,0,15,0,12,4,,6,5,3,6,0,6,0,6,0,0,0,0,0,0,0
,,,,M,,15,401,1,694571567,,a8ef4fd8-8970-4d33-81a7-3f7e047816d9,N,0,0,0,0,1,4,APKN,0,0,,Y,8,9,1,1,1,1,1,,1,1,1,1,,,,5.32,5.17,4,5,24,25,4,13,13,6,6,6,7,7,4,62,3,3,1,2,1,18,1,20,1,22,1,,5,5,3,5,1,6,0,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,796602162,,28a52db1-d8e5-4398-8b0f-fb8019614f8b,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,9,9,1,1,1,1,,,1,1,,1,,1,,4.86,5.58,5,5,29,30,5,14,14,6,6,5,7,5,5,68,2,3,0,0,1,18,0,19,0,23,0,,6,5,1,5,0,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,753650049,,d1c5c761-dac8-4e01-8125-afdae21d1e4e,N,0,0,0,0,1,2,WBRI,0,0,,Y,9,10,1,1,1,1,1,,1,1,1,1,,,,5.26,4.78,5,4,30,31,4,11,14,6,5,3,6,4,4,58,3,2,-1,-1,0,17,0,16,-1,14,3,,3,2,5,5,0,4,0,4,-1,0,0,0,0,0,0
,,,,F,,15,401,1,797534784,,78ca6545-dd1a-4b0c-a9dd-f3c350d9277f,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,11,12,1,1,1,1,,,1,1,1,,,1,,4.79,2.5,1,W,34,35,5,11,10,7,3,4,7,6,4,55,3,3,-1,0,-1,20,-1,18,0,20,2,,4,4,1,6,-1,6,-2,,,0,0,0,0,0,0
,,,,M,,15,401,1,753928880,,9708499e-e91d-411c-bd84-be38de8ff962,N,0,0,0,0,1,2,WROM,0,0,,Y,7,9,1,1,1,,,,1,1,,,,,,5.29,4.56,5,4,34,33,5,3,6,1,2,0,5,4,2,27,2,3,-1,-1,0,2,-2,15,0,14,4,,2,0,0,5,-1,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,821573898,,77e71286-5414-4ea5-8ac8-2f1485214257,N,0,0,0,0,2,4,APKN,0,0,Y,Y,13,12,1,1,1,1,1,1,1,1,1,1,1,1,,,5.63,5,5,30,30,5,13,15,9,8,7,8,8,7,80,3,3,0,0,0,25,1,26,0,23,4,,7,7,8,7,2,7,0,6,1,0,0,0,0,0,0
,,,,M,,15,401,1,824777339,,f3637a11-29a2-48e6-8f87-ccf005381594,N,0,0,0,0,1,3,APKN,0,0,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,,,5.26,5.21,5,5,33,31,5,13,9,8,5,3,7,6,5,64,3,3,0,0,0,23,0,20,0,21,1,,6,3,4,4,0,5,-1,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,746482689,,c9cac4ef-cd5d-4ca1-8ce5-f2f2a5c30fe6,K,0,0,0,0,2,2,APKN,0,0,Y,Y,10,8,1,1,1,1,,1,1,1,1,1,,,,5.39,5,5,5,28,29,5,9,10,6,5,4,3,3,2,59,3,2,0,-2,0,17,0,9,-2,3,5,,6,7,1,6,0,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,821547109,,9386f20c-919c-479b-8319-e813cc17b40f,N,1,0,0,1,1,3,WBRI,0,0,,Y,11,7,1,1,1,1,,,1,,,,,,,4.72,4.31,5,4,21,13,4,13,10,7,6,3,7,6,5,67,3,3,0,1,0,22,0,21,0,24,2,,2,3,0,,,2,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,714044947,,1fc16d46-d652-4930-b92a-0dd7ea464ea0,K,0,0,0,0,1,3,REFU,0,0,Y,,9,7,1,1,,1,,1,1,1,1,1,,1,,5,5.25,5,5,25,29,5,13,13,5,2,2,7,5,3,60,2,2,0,0,0,11,-1,20,0,15,4,,1,6,2,,,6,-1,,,0,0,0,0,0,0
,,,,F,,15,401,1,712951847,,306765c2-0df8-4d0a-a54e-ad8297a4d61c,K,0,0,0,0,1,3,WBRI,0,0,Y,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,,1,5,4.91,3,3,23,20,5,15,5,7,7,4,6,7,4,66,2,2,1,2,0,20,2,18,0,15,3,,5,5,5,5,1,5,1,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,768020066,,128dcb4f-0657-4fe8-94bf-827a8b75e299,N,0,0,0,0,1,3,MWBC,0,0,Y,Y,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.75,5,5,28,26,5,11,12,7,6,7,7,6,6,68,3,3,1,0,1,22,2,21,0,17,6,,7,7,6,4,1,5,1,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,775666755,,9912cc55-1918-4718-8b7c-b8c486fb4ecc,K,0,0,0,0,1,3,AIND,0,0,Y,Y,11,8,1,1,1,1,1,1,1,,1,1,,,,5.29,4.81,3,4,24,21,4,8,5,4,4,1,8,7,4,55,2,3,0,0,-1,9,-1,23,1,16,8,,2,2,2,5,0,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,725860312,,3491d7bc-4582-4f96-bca4-34438e2bca1e,N,0,0,0,0,1,2,APKN,0,0,,Y,7,8,1,1,1,,1,,1,,,,,1,,4.52,5.04,4,4,24,21,4,12,10,4,3,3,3,3,4,42,2,3,0,0,1,11,0,10,-1,10,0,,2,1,4,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,806010174,,e66f4578-077b-42d6-80fd-be9c798abbef,N,0,0,0,0,1,4,WBRI,0,0,,,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2,2,35,35,5,16,16,9,8,8,9,9,8,81,3,3,2,1,1,25,3,26,1,26,0,,8,8,9,7,1,7,1,6,3,0,0,0,0,0,0
,,,,M,,15,401,1,624036915,,55fe9470-8a6a-43ee-b00b-b505ff3c01c9,N,1,0,0,0,1,2,WBRI,0,0,,Y,11,12,1,1,1,,1,,1,1,,1,1,,,3.89,3.68,5,5,34,33,5,13,10,6,7,7,7,6,7,67,3,2,0,0,0,18,0,20,0,17,2,,6,6,5,7,0,6,1,6,0,0,0,0,0,0,0
,,,,F,,15,401,0,787777297,,63b40f3d-0d72-478f-a243-6f1526c4805a,N,0,0,0,0,2,3,AIND,0,0,,Y,9,9,1,1,,1,,,1,1,,1,,,,5.35,5.25,3,3,10,10,,13,13,5,4,5,6,5,6,58,3,3,,,,15,,17,,15,2,,2,4,1,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,766029186,,559977c4-1d42-46ba-ac46-46fd68f02999,N,0,0,0,0,1,2,APKN,0,0,,,10,10,1,1,1,,1,,1,1,1,1,1,,,4.38,4.59,5,5,31,32,5,16,12,7,7,7,9,7,7,70,3,3,0,0,0,21,0,23,0,17,6,,7,2,7,6,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,619481230,,75138074-fc10-47fa-a583-21867d4f1957,N,0,0,0,0,1,2,WBRI,0,0,Y,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,,5,2.5,5,5,32,31,5,15,13,8,7,6,4,6,6,62,2,2,0,0,0,21,1,14,0,6,7,,7,7,8,6,1,6,1,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,589515963,,7788001d-eff0-46f7-96bd-6e352f5b22fe,N,0,0,0,0,1,2,WBRI,0,0,,Y,8,9,1,1,1,,,,1,1,,1,,,,4.1,4.81,5,4,33,28,5,15,9,5,4,1,4,4,6,52,2,2,-1,0,-1,12,-2,14,-1,11,1,,2,4,2,6,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,628418627,,f2505870-0603-4499-b76a-247c9707d77a,K,1,0,0,1,1,1,WBRI,0,0,,,6,7,1,1,1,,,,,,,,,1,,5.84,5.96,4,3,31,31,4,12,10,2,5,5,5,3,4,43,2,2,0,0,0,6,-1,12,0,8,3,,6,2,2,6,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,778720651,,88d7690a-b42a-4ba3-85da-8b371463c123,N,0,0,0,0,1,3,APKN,0,0,Y,Y,10,10,1,1,1,,1,1,1,1,1,1,1,1,,5.19,5.54,5,5,30,31,5,16,14,7,7,6,7,8,7,75,3,2,1,1,0,21,1,22,1,19,3,,7,5,6,6,0,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,779446373,,5f7e839b-8da4-42d8-a27c-213c629f5a8b,N,0,0,0,0,1,4,WBRI,0,0,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,1,,5.32,,4,4,20,23,5,16,16,8,7,7,9,9,7,81,3,3,0,2,0,24,0,26,1,23,5,,7,7,8,7,0,7,0,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,818316259,,badaf879-f75d-4ed8-9c55-1669073f5ce1,N,0,0,0,0,1,3,APKN,0,0,Y,Y,12,11,1,1,1,1,1,1,1,1,,,1,1,1,,5.5,5,5,20,21,5,15,13,8,7,7,8,8,7,77,3,3,1,2,0,24,2,23,1,20,3,,7,7,8,4,0,5,-1,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,511824690,,a29fa4b4-ac32-482d-b136-c0e86d1037cb,N,0,0,0,1,1,2,WBRI,0,0,,,6,8,1,1,1,,,,1,,1,1,,,,4.03,5,5,4,34,34,5,5,5,3,2,1,2,2,1,11,2,2,-2,-1,-2,7,-2,5,-2,2,2,,3,1,1,7,-1,5,-1,,,0,0,0,0,0,0
,,,,F,,15,401,0,593523338,,1049dcf1-91e3-43f7-bc47-d5e0c4a00720,K,1,0,0,1,1,4,APKN,0,0,,Y,9,12,1,1,1,,1,,1,1,1,1,1,,,5.23,,,3,5,10,,10,15,6,4,3,7,6,6,51,2,3,,,,16,,19,,19,1,,4,4,6,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,768980338,,fa7354a2-2092-498b-882f-733c10982287,N,0,0,0,0,1,2,WBRI,0,0,,Y,11,10,1,1,1,1,1,,,1,,1,,,,5.39,3.89,3,3,25,21,4,14,13,8,7,6,7,7,7,73,3,3,1,0,0,22,2,21,1,21,4,,6,5,3,4,0,5,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,801017720,,4cdc4445-c128-45f3-8630-c5a21e600a01,N,0,0,0,0,1,1,WOTH,0,0,Y,Y,9,7,1,1,1,,1,,1,,,,,,,1.5,3.32,5,6,29,31,4,10,8,5,2,1,5,4,4,43,2,3,0,0,0,11,0,14,0,8,7,,1,0,5,4,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,795777568,,ab61b34b-2571-4a8b-b6d7-39e6efa3af61,N,1,0,0,1,1,3,APKN,0,0,,Y,9,9,1,1,1,1,,,1,1,,1,,,,4.48,4.47,2,3,17,15,4,9,10,6,3,1,7,5,1,51,2,3,0,0,1,16,0,16,0,18,1,,2,4,1,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,715337485,,e0777523-0201-4633-a44f-2551b6ce5c46,N,1,0,0,1,1,4,WBRI,0,0,Y,Y,10,10,1,1,1,1,,1,1,1,,1,,,,5,4.91,5,5,32,33,5,15,13,6,4,3,8,7,6,71,2,3,0,0,0,15,-1,22,0,19,2,,4,6,1,6,0,5,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,681549003,,3012be07-2dbd-4bd2-ba40-8bf0edf6fec4,N,0,0,0,0,1,3,WBRI,0,0,,Y,8,7,1,1,1,1,,,1,,,,,1,,5.13,4.84,2,,14,14,4,8,11,4,3,6,4,4,2,37,3,2,0,0,-1,10,0,10,0,3,5,,4,7,1,,,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,702130520,,39b02827-1355-4293-b854-c3be76a30aac,N,0,0,0,0,1,1,WBRI,0,0,,,7,6,1,1,1,,1,1,,1,,,,,,5.68,3.39,5,5,33,33,4,11,7,4,2,0,5,3,2,44,2,2,0,0,0,6,-1,12,0,10,4,,2,0,5,4,0,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,801663907,,b3b6c65c-ae71-484f-8f13-9a5bd9331031,N,0,0,0,0,2,2,AIND,0,0,,Y,9,5,1,1,1,,,,1,1,1,,,,,4.59,4.22,5,5,31,30,4,10,7,5,4,4,7,7,5,62,3,3,0,0,0,17,0,21,0,10,12,,3,2,1,4,0,4,0,4,1,0,0,0,0,0,0
,,,,M,,15,401,1,795206969,,7f1e9ffa-fac3-4692-8439-6276dcf21f84,N,0,0,0,0,1,1,WBRI,0,0,,,7,9,1,1,1,1,,,1,,,,,,,4.14,1.5,4,4,33,31,4,7,9,4,4,1,3,1,2,24,2,2,-1,0,0,9,-1,6,-2,5,2,,3,3,0,4,-1,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,676943926,,a7cf6068-e83a-4fd7-85a9-6000e61d6abf,N,0,0,0,0,1,2,WBRI,0,0,,Y,8,10,1,1,,,1,,1,1,1,1,1,1,1,4.66,4.47,5,4,32,32,4,13,10,5,6,6,5,5,4,56,2,2,0,0,0,19,0,16,0,17,0,,4,3,6,,,5,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,633792852,,7af810c1-2663-41f9-afe7-eb5f40126d48,N,0,0,0,0,1,3,APKN,0,0,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,,5,5.75,4,4,27,26,4,15,11,7,6,6,7,7,7,73,3,3,0,0,-1,21,0,22,0,19,4,,5,8,8,6,0,6,0,5,2,0,0,0,0,0,0
,,,,M,,15,401,1,818580854,,962467b6-99a5-40a8-b5cc-36292962a117,N,0,0,0,0,1,2,WBRI,0,0,Y,,9,9,1,1,1,1,,,1,,1,1,,,,4.34,4.44,4,5,33,33,5,15,16,6,6,6,7,6,7,73,2,3,0,0,0,20,0,20,0,22,0,,7,6,2,7,0,7,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,562684450,,a42a5312-4303-49e1-9510-eeee5fb07c1a,N,0,0,0,0,2,1,WBRI,0,0,,Y,6,9,1,1,,,,,,,1,1,,,,3.83,3.82,,3,27,19,3,5,2,1,0,2,1,1,4,13,2,2,0,0,0,2,0,4,-1,6,1,,0,2,3,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,715786942,,e7708a97-82b6-405b-b9a5-d0df96aca82a,N,0,0,0,0,1,3,WBRI,0,0,,Y,9,10,1,1,1,1,,,1,1,1,1,,,,5.16,4.09,,,14,12,4,12,9,5,4,4,6,5,5,62,3,2,0,0,0,18,0,16,0,16,3,,2,8,0,,,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,755183211,,e3e5550f-a4fb-4d8c-b2bd-85b5b415838b,N,0,0,0,0,2,2,WBRI,0,0,Y,,12,10,1,1,1,,,,1,1,,,,,,4.38,4.16,4,4,27,28,5,12,8,5,3,2,5,5,2,45,3,3,0,0,0,13,0,13,0,15,2,,2,1,0,5,0,3,0,,,0,0,0,0,0,0
,,,,F,,15,401,0,791084936,,7d13a6a2-2b3c-433c-ba27-b2c6b7bebb5d,N,0,0,0,0,1,3,WBRI,0,0,,Y,9,9,1,1,1,1,,,1,1,1,1,,,,,5.13,4,3,12,9,,13,8,5,5,3,7,6,6,61,2,3,0,0,-2,17,,20,,13,4,,3,5,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,762543997,,d4f748cd-991b-4b85-b683-6b3cd5949e1c,N,0,0,0,0,1,2,WBRI,0,0,,,9,8,1,1,1,,,,1,1,1,,,,,3.72,4.31,3,,29,31,4,9,9,3,1,0,6,5,3,42,2,2,0,-1,0,6,-1,14,0,6,14,,2,0,0,5,-1,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,799994794,,5ba7b7c2-98db-4328-b337-ebd138cc25a6,N,0,0,0,0,2,4,WBRI,0,0,,Y,12,10,1,1,1,,1,1,1,1,1,1,,1,1,5,5.5,5,3,26,28,5,15,15,7,6,6,8,8,7,78,3,3,0,0,0,20,0,25,0,26,3,,6,5,4,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,709324628,,2f19f49a-3efd-4bc7-a1d2-353e49a4cbd8,K,0,0,0,0,1,1,WBRI,0,0,,,7,9,1,1,1,,,,,1,1,,,,,1.5,4.66,3,,30,29,4,8,4,3,2,2,4,3,2,34,2,2,-1,-1,0,7,0,9,-1,5,2,,4,1,1,6,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,746857845,,a38f363d-71ac-4e09-aa31-a9860b70afbf,K,1,0,0,0,1,2,APKN,0,0,,,8,8,1,1,1,,,,1,,1,,,,,4.62,5.25,3,5,21,22,5,11,10,6,4,2,4,4,2,48,2,2,-1,-1,-1,14,-1,12,-1,8,4,,4,0,2,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,664213956,,4978948d-2e08-4ba4-927f-170fab930e15,N,0,0,0,0,1,3,APKN,0,0,Y,,6,6,1,1,,,,,,,,,,,,4.55,4.78,6,4,16,17,4,6,8,1,2,2,2,1,1,22,2,2,-1,-1,0,1,-1,5,-1,1,6,,2,2,3,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,809721735,,21269fea-fcdf-4826-9e04-ef36e1b9d737,N,0,0,0,0,1,3,APKN,0,0,Y,Y,12,10,1,1,1,1,1,1,1,1,1,1,1,1,,5.03,5.46,5,5,23,21,5,15,11,8,7,7,7,7,6,74,3,3,2,2,0,24,3,21,1,17,4,,7,8,7,5,1,4,1,5,1,0,0,0,0,0,0
,,,,M,,15,401,1,761017102,,5bda32cc-ec58-46ad-925b-7ae6a686ce54,N,1,0,0,1,2,1,OOTH,0,0,,,9,8,1,1,1,,,,,,,,,,,4.28,4.38,3,4,29,31,3,10,13,5,5,2,4,4,3,49,2,2,0,0,0,15,0,12,0,13,3,,4,3,1,4,0,4,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,660645242,,a5db979b-36ec-4395-b22d-95ea502a4b85,N,0,0,0,0,1,2,WBRI,0,0,,Y,9,8,1,1,1,,,,1,1,1,,,1,,4.93,5.58,4,3,15,20,4,11,12,7,7,6,7,5,5,64,3,3,0,0,0,21,1,20,0,19,3,,7,4,2,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,542039814,,aa95975f-89a1-4405-8e29-b85cd533f71d,K,0,0,0,0,1,3,WBRI,0,0,,Y,9,8,1,1,1,1,,1,1,1,1,1,,,,5.03,4.19,3,3,15,18,3,9,10,4,3,3,4,4,4,47,2,2,0,0,1,11,0,11,0,3,7,,6,5,2,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,729030068,,0f1ddaef-825b-4754-96c6-42361ab08f87,N,0,0,0,0,2,3,APKN,0,0,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,,,4.83,5.13,5,5,33,34,5,11,14,8,5,6,8,7,6,75,3,3,2,2,2,22,2,23,2,23,2,,5,5,3,6,1,5,2,6,0,0,0,0,0,0,0
,,,,M,,15,401,1,824597109,,513a3496-d7fc-4068-9158-bc1eae0360a4,N,0,0,0,0,2,3,WBRI,0,0,Y,Y,13,10,1,1,1,1,1,1,1,1,1,1,1,1,,5.06,5.63,5,5,19,22,5,13,16,8,8,7,9,9,7,80,3,3,1,0,1,25,2,26,1,26,3,,7,8,3,5,0,5,0,6,0,0,0,0,0,0,0
,,,,M,,15,401,1,750116012,,44f75043-8f0b-4ed5-9920-5a96477a1443,N,0,0,0,0,2,2,APKN,0,0,,,8,7,1,1,,,,,1,,,,,,,5.29,4.31,4,4,24,22,4,5,7,5,0,0,3,3,1,18,2,3,-1,0,0,9,-1,8,-1,3,7,,0,0,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,0,778456847,,ca640128-9497-452d-b68e-224fc85b1fe6,N,0,0,0,0,2,4,BCRB,0,0,,Y,8,6,1,1,1,,1,1,1,1,1,,1,1,,5.19,,4,4,11,18,,12,12,8,7,6,5,6,3,68,3,3,,,,22,,16,,12,4,,7,2,6,6,0,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,726514544,,7915669b-3d4b-4605-872d-8983705ada3e,N,0,0,0,0,1,2,APKN,0,0,,,7,8,1,1,1,1,,,,,,,,,,4.38,4.06,2,4,19,18,3,14,9,4,2,1,4,4,4,38,2,2,0,1,0,10,0,12,0,9,3,,2,6,1,,,4,0,,,0,0,0,0,0,0
