Candidate Number,Forvus index number,Surname,Forename,Gender,Date of birth,AGE,Pupil Inclusion Status Flag,Pupil included in progress 8 calculations,DfE Establishment Number,School URN,UPN,SEN,Has the pupil been eligible for FSM in the last 6 years?,Is the pupil looked after?,Post Looked After Arrangements,Is the pupil disadvantaged?,EAL Group,KS2 Prior Band,Student's ethnicity,Deprivation indicator - IDACI score,Did the pupil join within the last 2 yrs?,English Bacc 9-4?,English Bacc 9-5?,English and maths GCSEs 9-4?,English and maths GCSEs 9-5?,Entries,GCSE Entries,Entry English EBacc,Entry Maths EBacc,Entry Science EBacc,Entry Humanities EBacc,Entry Language EBacc,Entry ALL EBacc,Achieved English EBacc 9-4,Achieved English EBacc 9-5,Achieved Maths EBacc 9-4,Achieved Maths EBacc 9-5,Achieved Science EBacc,Achieved Humanities EBacc,Achieved Language EBacc,Entry triple science,Entry multiple languages,Entered all three core science pathway subjects,KS2 Reading TA level,KS2 Mathematics TA level,KS2 Reading PS,KS2 Maths PS,Prior attainment score in English and mathematics,Score achieved in English,Score achieved in mathematics,Score achieved in 1st EBacc slot,Score achieved in 2nd EBacc slot,Score achieved in 3rd EBacc slot,Score achieved in 1st open slot,Score achieved in 2nd open slot,Score achieved in 3rd open slot,Attainment 8 score,EBacc slots filled,Open slots filled,Pupil progress 8 score,Progress 8 score for English,Progress 8 score for mathematics,Score achieved in Ebacc slots,Progress 8 score for Ebacc slots,Score achieved in open slots,Progress 8 score for open slots,Total score achieved in open slots - GCSEs only,Total score achieved in open slots - non-GCSEs only,Science EBacc PS (VA),Humanities EBacc PS (VA),Language EBacc PS (VA),KS2-4 predicted PS for 'EBacc Science' VA,EBacc Science' VA score,KS2-4 predicted PS for 'EBacc Humanities' VA,EBacc Humanities' VA score,KS2-4 predicted PS for 'EBacc Language' VA,EBacc Language' VA score,Pupil level Maths pathway flag,Pupil level English pathway flag,Pupil level Science pathway flag,Maths exclude previous school,English exclude previous school,Science exclude previous school
,,,,M,,15,401,1,811944152,,b958dc32-637e-4af4-9bcd-03535ce7efa0,N,0,0,0,0,1,2,WBRI,0,0,,Y,Y,Y,10,8,1,1,1,1,1,1,1,1,,1,1,1,,,,,5,5,5,4,5,16,11,4,3,4,6,5,6,61,3,3,0,1,0,14,0,17,0,12,8,4,5,1,4,-1,4,2,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,779595222,,2bcae368-e41a-4f02-b887-96672e253113,N,1,0,0,1,1,3,APKN,0,0,,Y,,,8,8,1,1,1,,,,1,,,,,,,,,,5,4,3,3,4,11,1,0,0,0,3,2,0,16,2,2,-2,0,-2,1,-3,6,-3,1,7,0,0,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,768805990,,a909f7be-de32-48bc-99e9-86b61301a4c8,N,0,0,0,0,2,2,BAFR,0,0,,,,,8,6,1,1,1,,1,,1,,,,,,,1,,,4,6,3,3,4,3,2,1,5,1,5,4,3,27,2,3,-1,-2,-1,4,-1,11,-1,8,8,1,0,2,4,-2,,,4,-1,0,0,0,0,0,0
,,,,F,,15,401,1,798060689,,ed9b4a42-14ab-4cfa-9182-65ecc822d83a,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,12,13,1,1,1,1,1,1,1,,1,1,1,1,1,,,,5,2,5,5,5,13,17,8,6,6,7,7,7,77,3,3,0,-1,1,26,0,20,0,23,0,6,7,7,7,0,6,0,5,-1,0,0,0,0,0,0
,,,,F,,15,401,1,813200241,,44838783-2126-4c30-a2a7-20c73b681d2e,N,0,0,0,0,2,2,APKN,0,0,,,,,11,9,1,1,1,1,,1,1,,,,,,,,,,5,4,5,4,4,16,6,4,4,2,7,4,3,49,3,3,0,2,0,13,0,15,0,11,7,4,2,1,3,0,3,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,682443492,,953e3c74-2634-4ce9-ad17-e63428e4d022,N,0,0,0,0,1,3,APKN,0,0,Y,Y,Y,Y,9,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,4,3,3,5,16,16,8,7,5,7,4,5,74,2,2,0,0,0,22,0,16,-1,23,0,7,7,6,7,0,7,0,6,-1,0,0,0,0,0,0
,,,,M,,15,401,1,683011133,,4f9b3658-bde4-44d2-87e1-4769f6f18707,N,0,0,0,0,1,3,WBRI,0,0,,,Y,,10,11,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,5,1,5,5,5,6,16,5,7,4,7,8,7,62,2,3,-1,-3,-1,16,-2,22,0,20,3,6,8,5,7,-1,6,0,6,0,0,0,0,0,0,0
,,,,M,,15,401,1,701336429,,25041a97-77c5-4ed5-85d3-d544703c3784,N,0,0,0,0,2,2,CHNE,0,0,,,Y,,6,5,,1,1,1,1,,,,1,,,,,,,,,3,1,2,4,1,12,3,2,2,4,3,4,30,2,3,-1,-4,0,8,0,10,-1,8,3,2,3,2,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,776589410,,ff467114-c68f-43bb-86b3-96f2f731049e,N,0,0,0,0,1,2,APKN,0,0,,,Y,,9,10,1,1,1,1,,,1,1,1,1,1,1,,,,,5,5,5,5,5,14,16,7,7,7,7,6,6,65,3,3,0,0,0,18,0,18,0,16,1,7,6,1,7,0,7,0,6,1,0,0,0,0,0,0
,,,,F,,15,401,1,654605001,,740406be-8cf2-47cb-9dd3-27be86caa607,N,0,0,0,0,1,3,WBRI,0,0,,,Y,Y,6,8,1,1,,,,,1,1,1,,,,,,,,4,5,4,4,4,11,2,1,0,0,3,2,0,11,2,2,-1,1,-2,1,-2,6,-1,7,1,0,0,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,599754985,,a4368bcc-303b-4917-91d2-9246e40451df,K,0,0,0,0,1,3,APKN,0,0,,,Y,,8,10,1,1,1,,1,,1,,1,,,,1,,,,4,2,2,2,3,11,9,2,3,4,5,2,1,29,2,2,0,1,0,4,0,9,0,5,3,4,2,5,3,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,822035230,,f9a6a7b0-84fb-4625-adeb-7008ef22efaf,N,0,0,0,0,1,3,AIND,0,0,Y,Y,Y,,9,8,1,1,1,,,,1,,1,,1,,,,,,5,4,4,3,4,0,7,6,1,1,6,6,2,27,2,3,0,-1,0,12,0,16,0,16,6,3,0,0,3,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,822335515,,c8923850-082c-4561-b725-cb1a74699456,N,0,0,0,0,2,4,APKN,0,0,,,,,11,11,1,1,1,1,,,,1,1,1,1,,1,1,1,,,4,3,4,5,10,17,8,6,7,8,7,7,73,3,3,0,-1,0,24,0,22,0,27,1,7,5,1,5,0,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,746354972,,10a9b85f-fa0b-4844-893d-fe14a068e73b,N,0,0,0,0,1,2,WBRI,0,0,,,Y,Y,9,9,1,1,1,,,,1,,1,1,1,1,,1,,,5,4,5,4,5,17,12,7,5,4,6,6,7,72,2,3,0,1,0,18,0,19,0,15,3,3,3,1,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,607956194,,d9626f76-3a87-45d6-a6aa-e95c8dc38b72,N,0,0,0,0,1,2,WBRI,0,0,,,Y,,7,9,1,1,1,,1,,1,,1,,,,,,,,,3,4,4,4,6,9,5,6,4,4,4,5,37,3,2,0,0,0,16,0,11,0,2,3,5,3,5,3,0,,,4,1,0,0,0,0,0,0
,,,,F,,15,401,1,765897961,,d2d917b4-0cd1-4ba2-8f30-c97e54a39d5d,N,0,0,0,0,1,3,WBRI,0,0,,,Y,,8,10,1,1,1,1,,,1,1,1,1,,1,,,,,4,4,4,3,4,16,9,5,3,2,4,4,3,46,3,3,0,1,-1,14,-1,13,-1,16,0,2,3,1,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,555720256,,e2cdbdb8-4f4b-49a2-9e8c-80baea44d669,N,0,0,0,0,2,3,APKN,0,0,,,,Y,7,8,1,1,1,1,,,,1,,1,1,1,,,,,4,5,4,4,4,10,6,4,5,6,4,3,3,36,3,2,0,0,-1,15,0,11,-1,12,1,6,3,1,5,0,4,0,,,0,0,0,0,0,0
,,,,M,,15,401,0,822581115,,510a7320-bca2-474c-92a1-ee87c7fd5d59,N,0,0,0,0,1,4,BCRB,0,0,Y,Y,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,4,1,1,,16,18,10,8,7,8,7,6,82,3,3,,,,27,,23,,20,2,7,8,8,,,,,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,744163441,,7618d1e2-04f4-4f16-be13-3a1e5972b4f6,N,0,0,0,0,2,3,MWBC,0,0,,Y,Y,,11,11,1,1,1,1,,,1,,1,,1,1,,,,,4,,3,2,4,12,7,8,6,3,9,8,6,68,3,3,0,0,0,24,1,24,2,17,7,4,2,2,3,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,788106224,,ff81df13-40f1-4a04-87e6-4d1d27ec2d59,N,0,0,0,0,2,2,WBRI,0,0,,,,Y,9,8,1,1,1,,1,,1,1,,1,1,1,1,,,,5,5,5,5,5,13,9,6,4,3,6,5,3,58,3,3,0,-1,0,16,0,18,0,15,2,2,0,2,4,0,6,0,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,758201061,,ffb45647-d825-429a-8f09-681c666d058a,N,0,0,0,0,1,2,APKN,0,0,Y,Y,Y,Y,9,8,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,4,4,3,4,4,10,13,4,5,5,6,5,6,57,3,3,1,1,1,13,0,19,1,17,0,2,6,6,,,3,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,0,597371932,,805cc5c3-4579-48c8-990f-a0219b1945c4,N,0,0,0,0,1,4,WBRI,0,0,Y,,Y,Y,9,11,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,5,5,2,3,,11,13,8,8,8,6,5,5,65,3,3,,,,26,,15,,9,0,7,7,6,5,0,,,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,558659346,,a8a6a317-e32c-49d3-ac67-f37d71065e5c,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,6,8,1,1,,,1,1,1,1,1,1,1,1,1,,,,5,5,5,4,4,8,6,4,1,1,4,3,1,39,2,2,0,0,0,6,0,9,0,6,2,0,3,6,,,,,4,0,0,0,0,0,0,0
,,,,F,,15,401,1,803804186,,6a2dfb70-9439-4d3b-97db-91ab1a8b37db,K,1,0,0,1,1,3,AIND,0,0,,,Y,,10,7,1,1,1,,1,1,,,1,1,1,,1,1,1,,5,2,5,5,5,8,16,7,7,5,6,6,7,70,3,3,0,-2,0,22,0,18,0,13,4,7,5,6,6,0,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,722488759,,5276f3da-681a-4584-9046-e2681578085a,N,0,0,0,0,1,2,WBRI,0,0,Y,,Y,,9,9,1,1,1,1,1,,1,,1,,,,,,,,5,,3,3,3,9,7,4,3,4,6,4,5,38,3,3,0,0,0,10,0,14,0,13,2,3,1,2,2,0,3,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,811358045,,b1f6f245-de7e-4a0c-bb64-c0b0630455f0,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,10,10,1,1,1,1,1,1,,,1,1,1,1,1,1,,,5,5,4,5,5,7,17,6,6,7,6,5,7,67,3,3,0,-2,1,18,0,18,0,19,1,7,8,8,5,1,6,1,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,788505682,,f00c23ad-a95e-4ead-8ef4-d58b1f52957b,N,0,0,0,0,1,3,WBRI,0,0,,,,Y,9,6,1,1,1,1,1,,1,1,1,,,1,,,1,,5,5,5,5,5,9,11,6,6,6,8,8,5,66,3,3,0,0,0,18,0,23,0,13,12,2,6,3,,,4,-1,5,-1,0,0,0,0,0,0
,,,,F,,15,401,0,635850415,,c92a56fb-0756-412f-a152-dfbbabde3b2e,N,0,0,0,0,1,4,APKN,0,0,Y,Y,Y,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,4,2,3,,17,16,7,8,7,9,8,8,80,2,3,,,,22,,25,,28,0,8,7,6,,,,,5,1,0,0,0,0,0,0
,,,,F,,15,401,1,734074292,,0bd07623-9025-42be-89ee-ba72624a197c,N,1,0,0,0,2,3,REFU,0,0,Y,Y,Y,,11,13,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,4,4,4,4,4,11,12,5,5,5,8,6,6,56,3,3,0,1,0,16,0,19,0,18,1,6,6,2,3,0,5,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,789116459,,0a75e6f1-bf92-4b59-8c05-3877d4503e7e,N,0,0,0,0,1,2,WBRI,0,0,,Y,Y,Y,9,9,1,1,1,,1,,1,1,1,1,1,1,1,1,,,5,5,5,5,5,16,16,7,4,4,7,7,5,74,3,3,0,0,1,21,0,21,0,24,0,4,2,4,7,0,,,6,2,0,0,0,0,0,0
,,,,M,,15,401,1,587109123,,f3685668-a57a-47a0-9cfb-51fb81c226f9,N,0,0,0,0,1,3,WBRI,0,0,,,Y,,10,10,1,1,1,1,1,1,1,1,1,,1,1,,1,,,4,5,4,4,5,14,14,6,6,4,6,4,3,64,3,3,0,0,0,18,0,16,-1,18,2,6,3,2,4,0,6,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,705307212,,971ca2cb-ee4b-4a39-a7a4-0e195b0495be,N,0,0,0,0,1,3,WOTH,0,0,,Y,Y,Y,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,3,4,3,5,15,16,9,7,7,7,8,7,77,3,3,1,0,0,26,2,23,0,16,1,7,6,6,5,1,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,687852602,,e86797a1-ed47-48f5-916e-05e8b11ce588,N,0,0,0,0,1,1,WBRI,0,0,Y,Y,Y,Y,10,9,1,1,1,1,1,,1,,1,1,1,1,1,1,,,4,5,5,5,5,9,17,6,7,7,5,6,6,69,3,3,0,-1,2,23,1,17,0,15,0,8,6,2,6,1,5,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,818949321,,a3a8101f-a460-4284-8944-a7576f74743e,N,1,0,0,1,1,3,APKN,0,0,,,Y,,10,8,1,1,1,,,,1,1,1,1,1,,,,,,5,5,4,4,4,14,7,7,2,0,7,5,3,56,3,3,0,0,0,19,-1,17,0,12,7,1,0,0,3,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,773423222,,30b66657-0e16-4631-9bbc-12329a20d27d,N,0,0,0,0,1,3,APKN,0,0,Y,,,Y,8,7,1,1,1,,1,,,,,1,1,,1,1,,,,4,3,4,5,4,12,6,3,2,5,4,4,54,2,3,0,-2,1,16,1,14,0,10,1,3,3,3,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,0,618877549,,6c73d7fe-0c75-46c2-86f5-47123f151fc7,K,1,0,0,1,1,4,APKN,0,0,,,,Y,8,8,1,1,1,1,,,1,1,,,,,,1,1,,4,,2,2,,5,6,4,4,1,3,4,3,31,2,3,,,,7,,10,,9,1,7,2,1,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,657075780,,597589e3-b57f-423b-992b-b14ae677df93,N,0,0,0,0,1,2,WBRI,0,0,,,Y,Y,9,9,1,1,1,1,1,,1,1,1,1,1,,,1,,,4,4,5,5,5,8,9,4,6,5,5,5,5,50,3,2,0,0,0,14,0,14,0,6,4,5,3,5,5,-1,5,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,625013419,,a9f6ff17-a61a-4314-b861-a311ca87acb5,K,0,0,0,1,1,2,APKN,0,0,,,,,8,7,1,1,1,,,,,,,,,,,,,,6,6,2,2,3,2,10,4,3,2,5,2,1,20,3,2,0,-2,0,9,0,8,0,1,8,3,1,1,2,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,687895589,,2de565d4-3cb3-42d9-b54c-d8f2df7e4dba,N,0,0,0,0,1,1,WOTH,0,0,,Y,,Y,9,9,1,1,1,1,,,1,1,,1,1,,,,,,4,4,5,5,4,8,15,3,7,6,5,5,5,50,3,3,1,0,2,12,1,14,1,10,5,7,5,1,3,1,3,1,,,0,0,0,0,0,0
,,,,M,,15,401,1,752126175,,68b18eb8-0e9f-4824-93f7-e98190cac669,N,0,0,0,0,1,2,WBRI,0,0,,,,,8,9,1,1,1,1,1,,,,1,1,,,,1,,,4,4,4,5,4,3,12,6,4,2,4,4,3,35,3,3,-1,-3,0,17,0,10,0,12,0,3,4,5,4,-1,4,0,4,0,0,0,0,0,0,0
,,,,M,,15,401,1,693365827,,a2c20dc3-7d96-4d35-b95e-6e7f09229250,K,0,0,0,0,2,2,APKN,0,0,Y,Y,,,7,7,1,1,1,1,,1,1,,,,,,,,,,,2,2,2,4,8,9,1,0,2,2,3,4,27,2,3,0,0,0,3,-1,8,0,2,7,4,2,1,4,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,807775496,,339b056b-0765-478a-bac3-3114caa11c6c,N,0,0,0,0,2,2,APKN,0,0,Y,Y,,Y,8,9,1,1,1,,,,,,,,,,,,,,,,2,3,4,13,1,0,3,0,5,3,4,25,2,3,-1,0,-1,1,-2,13,0,14,3,1,0,0,3,-1,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,645161667,,fe94ed47-2eb3-4e91-a51e-b45b773a11fa,K,1,0,0,1,1,1,WBRI,0,0,,,,,8,7,1,1,1,,,,1,,,,,,,,,,,4,4,4,4,15,13,3,1,0,3,4,3,36,2,3,-1,-1,-1,5,-2,9,-1,7,4,3,3,0,5,-1,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,731803554,,d76d3045-3e08-40bd-b45e-f98b174662e2,N,0,0,0,0,1,2,WBRI,0,0,,,,Y,9,9,1,1,1,,1,1,,,1,1,,,1,1,,,4,,4,4,5,7,12,6,6,1,3,3,3,40,2,2,0,-1,1,13,0,9,-1,5,5,4,4,7,,,,,6,0,0,0,0,0,0,0
,,,,F,,15,401,1,775658862,,93c2cc14-0d41-4d22-8407-562a9a934ad5,N,1,0,0,1,2,3,APKN,0,0,Y,Y,Y,Y,9,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,3,2,3,5,17,15,8,7,7,8,7,8,78,2,3,1,1,0,23,1,23,1,23,1,8,5,6,5,1,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,784983981,,037765bb-0aff-477e-918f-42d26b594ecd,N,0,0,0,0,1,3,WBRI,0,0,,,Y,Y,11,11,1,1,1,1,,,1,1,1,1,1,1,1,,,,1,5,5,5,5,6,15,9,4,3,8,8,3,69,3,3,1,0,3,25,1,22,1,18,1,5,3,1,6,1,5,-1,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,670482412,,94b63cb4-281f-44b9-9aac-e5a8aa35d0a2,N,0,0,0,0,1,3,WBRI,0,0,Y,Y,Y,Y,9,11,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,,5,5,5,9,17,10,8,8,5,7,7,77,3,2,0,-2,0,26,2,19,0,20,1,8,8,7,7,2,7,0,6,2,0,0,0,0,0,0
,,,,M,,15,401,1,675818032,,bbcfdf96-a95a-4585-8e91-75db98b1c01b,N,0,0,0,0,1,2,WBRI,0,0,,,Y,Y,10,10,1,1,1,,,,1,1,1,1,1,,,,,,5,5,4,4,5,16,13,6,3,2,6,6,6,65,3,3,0,0,1,12,0,18,0,13,0,4,0,0,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,665420592,,4d2c16ba-c87a-42e2-b451-8719e9391a87,K,0,0,0,0,2,2,WBRI,0,0,Y,Y,,Y,9,9,1,1,1,1,1,1,,1,,,1,1,1,,,,5,,4,5,5,6,15,5,6,5,7,6,5,57,3,3,0,0,1,19,1,18,0,19,1,7,7,3,6,1,6,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,815323488,,173e22db-544a-47fa-a907-db3f454c6040,N,0,0,0,0,1,2,WBRI,0,0,,,Y,,10,9,1,1,1,1,,,1,1,1,,1,,,,,,5,4,4,4,4,8,3,5,5,2,5,4,2,41,3,3,0,0,0,15,0,15,0,12,4,4,2,1,4,1,4,0,,,0,0,0,0,0,0
,,,,F,,15,401,1,574710375,,0c72c7e9-d1cf-4fb9-b3e4-f6d7225df91e,K,0,0,0,0,1,3,WBRI,0,0,,,Y,,7,9,1,1,1,,,,1,1,,,,,,,,,,,3,4,4,4,7,2,0,0,2,2,0,16,2,2,-1,0,0,4,-1,5,-1,3,3,2,0,1,4,-1,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,533213050,,98077e3b-7317-4228-84d1-af52ebf14ff2,N,0,0,0,0,1,2,WBRI,0,0,,,Y,,7,9,1,1,1,,,,1,1,1,,1,,,,,,4,4,4,3,4,11,14,4,3,1,4,3,3,50,2,2,0,1,0,10,0,11,-1,10,1,4,0,1,3,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,601367203,,f5a26653-4a82-4769-bcb9-b698a96b5f70,N,0,0,0,0,1,2,WOTH,0,0,Y,,,,7,7,1,1,1,1,,,1,1,,,,1,,,,,,6,2,1,4,16,2,3,4,2,6,3,0,41,2,2,1,4,0,8,1,10,0,13,1,1,3,2,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,675078386,,2e7b19fc-47ee-43e2-b7a0-2a922fb476c5,N,0,0,0,0,1,3,APKN,0,0,Y,Y,Y,Y,9,9,1,1,1,,1,,1,,1,1,1,,1,1,,,5,5,5,5,5,8,16,5,6,4,6,5,6,62,2,3,0,-1,0,18,0,16,0,15,0,7,0,5,6,1,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,799351571,,8ccf46ab-6d49-4699-b850-505b3ad47349,N,0,0,0,0,1,2,WBRI,0,0,,,Y,,10,11,1,1,,,1,,1,1,1,1,,,,,,,5,4,4,3,4,18,17,4,3,1,8,5,7,70,1,2,0,2,0,11,-1,21,1,18,1,2,1,3,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,652854323,,69a99c03-367b-4919-b3c0-8587d4f1d379,N,0,0,0,1,1,2,WBRI,0,0,,Y,Y,,7,8,1,1,1,1,,,1,,1,1,1,1,,1,,,4,4,4,4,4,9,9,4,3,6,2,3,1,32,3,2,0,0,0,10,0,7,-1,3,1,5,5,3,4,0,5,0,,,0,0,0,0,0,0
,,,,M,,15,401,1,726414391,,a24b744f-7dc6-467b-bded-471d33598898,N,1,0,0,1,1,3,APKN,0,0,,,,,9,9,,1,1,1,1,,,,1,1,,1,1,1,,,4,4,2,2,5,8,16,6,7,6,7,5,7,67,3,3,0,-2,0,19,0,20,0,17,2,6,7,5,,,,,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,731860474,,ef7752ed-2161-4f04-aca2-21005ca16860,K,0,0,0,0,1,2,MWAS,0,0,,,Y,,7,9,1,1,1,1,,,1,1,1,,1,1,,,,,5,5,5,5,5,1,6,3,2,0,4,2,1,26,2,2,0,0,0,7,0,8,0,9,0,1,3,2,4,0,4,0,5,0,0,0,0,0,0,0
,,,,F,,15,401,1,800637468,,f7a6ac33-b930-4c0d-a110-6ce5cd0ae5a3,N,1,0,0,0,2,3,WBRI,0,0,,,,Y,9,9,1,1,1,,,,1,1,,,,,,,,,4,5,4,3,4,14,9,4,3,1,4,4,2,50,2,2,0,2,0,10,0,12,0,13,0,2,1,2,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,706999713,,9a8e6d2e-cb73-4cc9-aa62-d023920af182,N,0,0,0,0,1,2,WBRI,0,0,,,Y,Y,10,7,1,1,1,1,,,1,1,,,,1,,,,,4,5,2,2,3,16,7,3,4,2,8,5,2,58,3,3,0,2,-1,11,-1,18,0,7,11,6,4,0,3,-1,2,0,,,0,0,0,0,0,0
,,,,F,,15,401,0,785496880,,7c004dd3-c3b6-4838-9b90-332a36f2278b,N,0,0,0,0,2,4,WBRI,0,0,,,Y,Y,11,10,1,1,1,1,,,1,1,1,1,1,1,,1,,,5,5,3,4,,15,17,7,7,6,9,7,7,78,3,3,,,,22,,26,,19,6,6,5,2,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,664582173,,e3a5c2df-d90e-4cd4-938c-ddd5b9b7fc7a,N,0,0,0,0,1,3,APKN,0,0,Y,Y,Y,,9,9,1,1,1,1,,1,1,1,1,1,,,,1,,,5,5,5,5,5,9,10,3,1,0,5,5,5,49,2,3,0,0,0,6,-1,15,0,13,3,1,1,1,5,-1,5,-1,,,0,0,0,0,0,0
,,,,F,,15,401,1,656339235,,bf1bb6da-515f-4186-acab-ce2d1c0dfb75,N,0,0,0,0,2,2,APKN,0,0,,,Y,Y,7,8,1,1,1,1,,,1,1,1,1,1,1,,1,,,5,3,4,4,4,5,16,4,3,6,6,5,4,46,3,3,2,1,2,13,2,16,1,16,4,5,6,2,5,1,4,0,5,0,0,0,0,0,0,0
,,,,M,,15,401,1,700636406,,ba14ce60-a624-4feb-acf0-37651aee2403,N,1,0,0,1,1,3,WBRI,0,0,,Y,,Y,6,9,,1,,1,,1,,1,,1,1,1,1,1,,,5,5,5,5,5,7,13,5,4,4,3,2,0,40,2,1,-2,-2,-1,13,0,8,-3,14,0,2,8,3,,,6,-1,,,0,0,0,0,0,0
,,,,F,,15,401,1,764492830,,7ec417aa-168b-48ca-aa48-a6eefb1db68d,N,0,0,0,0,1,2,MWBC,0,0,,,,,9,7,1,1,1,,,,1,,,,,,,1,,,5,4,4,4,5,15,14,6,4,1,7,6,5,67,2,3,0,0,-1,17,-1,19,0,10,4,5,0,1,4,0,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,525777048,,48b44ba7-839e-481b-acae-cda051a57f76,K,1,0,0,1,1,2,APKN,0,0,,,,,3,4,1,1,,,,,,,,,,,,,,,5,1,3,3,4,2,1,0,0,0,0,0,0,0,1,2,-3,-1,-2,0,-3,0,-4,0,1,0,0,0,,,,,,,0,0,0,0,0,0
,,,,M,,15,401,0,776460982,,4cc8117e-9689-4dcc-a15e-2190f6b91120,N,1,0,0,1,1,4,WBRI,0,0,,,,Y,8,8,1,1,1,1,,1,1,,1,1,,1,,,,,4,6,1,1,,7,13,3,5,3,4,3,4,45,2,2,,,,7,,12,,10,0,3,7,1,,,4,1,,,0,0,0,0,0,0
,,,,M,,15,401,0,782097769,,a5b9d5ea-b24e-437e-9abb-ba165d04a6f6,N,0,0,0,0,2,3,APKN,0,0,Y,,Y,,10,7,1,1,,1,1,,1,1,,,,1,,1,,,4,6,0,0,,14,7,4,4,1,6,5,5,56,2,3,,,,11,,19,,17,1,0,1,2,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,723188690,,3a5417b6-5e08-4974-909b-8ea7104c3990,N,0,0,0,0,1,1,WBRI,0,0,,,,,5,6,1,1,,,,,1,,,,,,1,1,,,4,3,4,5,4,2,8,1,0,1,3,2,2,20,2,2,-1,-3,0,2,0,7,-1,2,1,0,0,1,5,0,,,,,0,0,0,0,0,0
,,,,M,,15,401,1,747162771,,c19813b3-6258-4fd3-939f-e54d42de03a7,N,0,0,0,0,1,2,APKN,0,0,,,Y,Y,7,8,1,1,,,,,1,,,,1,,,1,,,4,4,3,4,4,7,9,3,5,5,3,3,5,35,2,2,0,0,1,11,1,9,0,8,4,3,1,0,,,,,,,0,0,0,0,0,0
,,,,F,,15,401,1,823132517,,b9ccd27d-e6dc-4686-95c4-5e49053b349f,N,0,0,0,0,1,2,WBRI,0,0,Y,,,,12,10,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,5,5,5,5,5,16,10,7,7,6,8,7,6,76,3,3,0,-1,-1,24,0,21,0,23,2,7,8,4,4,-1,4,1,4,0,0,0,0,0,0,0
