candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,post_looked_after_arrangements,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_english_pathway_flag,pupil_level_science_pathway_flag,maths_exclude_previous_school,english_exclude_previous_school,science_exclude_previous_school
,,,,F,,15,401,1,633647748,,d3c84056-1fee-4515-952e-6f8dd33f23ef,N,0,0,0,0,1,2,WBRI,0,,,,,6,8,1,1,1,,1,1,1,1,,,1,,,1,1,,1,,,,,4,4,4,2,6,7,3,0,8,4,6,11,3,2,2,2,2,0,21,2,2,0,0,,0,0,6,0,4,-1,2,2,6,0,,,5,-2,0,0,0,0,0
,,,,M,,15,401,1,659989615,,27045482-db49-4e3a-ba6e-2a5748e3e283,N,1,0,0,1,2,2,WBRI,0,,,,Y,5,5,1,1,1,1,,,1,,1,,,,,,,,,,,,4,3,4,4,1,5,3,1,1,0,4,4,4,1,1,0,3,3,2,15,2,2,0,0,,0,0,2,-1,7,0,1,9,3,0,3,0,,,0,0,0,0,0
,,,,F,,15,401,1,793483620,,19c8632c-bf4f-4b1e-a121-c675298255f4,N,0,0,0,0,2,2,WBRI,0,,Y,Y,Y,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,5,5,5,7,9,7,7,6,5,5,17,12,8,7,7,9,8,8,76,3,3,1,1,,1,0,24,1,25,1,26,2,7,0,6,1,5,0,0,0,0,0,0
,,,,M,,15,401,1,802423829,,29cedb31-e2ac-4f3b-b3e4-400c7aff3883,N,0,0,0,0,1,3,BCRB,0,Y,Y,Y,Y,11,10,1,1,1,,1,1,,,1,1,1,1,1,,1,1,1,,,,5,6,4,4,8,3,9,8,5,8,5,13,18,10,8,8,8,8,7,86,3,3,1,1,,-1,2,27,3,25,1,25,0,6,3,,,5,1,0,0,0,0,0
,,,,M,,15,401,1,791947820,,f3589b9c-778e-401e-a8ce-df1c2d9b1ddb,N,0,0,0,0,2,2,WBRI,0,,,Y,Y,11,10,1,1,1,,1,,1,1,1,1,1,1,1,,,,1,,,,5,4,5,5,5,5,6,7,1,2,5,14,14,7,5,5,7,6,6,66,3,3,0,0,,0,1,21,0,21,0,22,3,6,0,6,0,6,0,0,0,0,0,0
,,,,M,,15,401,1,540159752,,de96c1c8-0979-4b2c-a0fc-1b0556915ad9,K,0,0,0,0,1,1,APKN,0,,,Y,Y,5,7,1,1,1,,,,1,,1,,,,1,,,,,,,,4,4,5,5,1,7,6,6,5,1,4,7,8,4,6,3,2,5,5,20,2,3,1,1,,0,1,10,2,8,0,4,3,4,2,6,3,5,0,0,0,0,0,0
,,,,M,,15,401,1,683414313,,b836489e-4489-4692-a0de-89b3392c270c,N,0,0,0,0,1,3,WBRI,0,,Y,Y,Y,7,7,,1,1,,1,,,,1,,1,1,1,1,,1,1,,,,5,5,4,5,5,1,7,6,2,5,5,9,14,4,7,6,6,4,3,60,2,2,0,0,,-1,0,14,1,16,0,11,3,7,2,,,6,0,0,0,0,0,0
,,,,M,,15,401,1,742459369,,7d07b725-4563-4bca-86c7-2966207a8116,K,0,0,0,0,1,3,APKN,0,,,Y,Y,8,8,1,1,1,,,,1,1,1,1,1,,,,,1,,,,,4,6,3,3,5,5,8,7,2,2,5,12,17,7,7,7,6,6,5,62,3,3,0,0,,0,0,22,1,17,0,10,4,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,726336850,,ef7e5d02-cd8f-4440-8f82-51c660394aa9,N,0,0,0,0,2,3,WBRI,0,,Y,,,7,10,1,1,1,,1,,1,,,,,,,,1,1,,,,,4,,4,4,2,8,9,4,0,6,5,13,16,1,4,3,3,5,5,35,2,3,-2,-2,,-1,-1,5,-3,10,-2,8,0,5,-1,,,,,0,0,0,0,0
,,,,M,,15,401,1,577896744,,c7eab350-f4e3-4106-ac5f-b09c58cefda8,N,0,0,0,0,1,2,WBRI,0,,Y,,Y,6,7,1,1,1,1,,,,,1,1,1,,1,1,,,,,,,4,4,5,5,1,3,2,1,2,0,3,5,2,1,0,0,2,1,0,14,2,2,-1,-1,,0,-1,1,-1,4,-1,1,3,4,-1,,,,,0,0,0,0,0
,,,,F,,15,401,1,536728425,,cd93fe90-f6f2-4c62-a258-94d8ac53e95e,N,1,0,0,1,1,2,APKN,0,,,,,5,5,,1,1,,1,,,,,,1,1,,,,,1,,,,,,3,3,1,0,6,2,0,5,4,1,11,0,1,1,2,1,1,20,2,2,0,0,,-1,0,3,0,5,0,2,2,4,1,,,4,0,0,0,0,0,0
,,,,M,,15,401,0,685297458,,27fc8602-06fc-453e-ba7b-498a22bcf5d7,N,0,0,0,0,1,4,WBRI,0,,,Y,Y,8,8,1,1,1,1,,,1,1,1,,,,1,,,,,,,,4,4,2,3,3,4,3,3,3,2,,6,5,5,3,5,6,4,3,42,3,3,,,,,,12,,15,,15,1,,,,,,,0,0,0,0,0
,,,,F,,15,401,0,760798404,,cad2792a-0c66-42ea-abfe-6d1894a86656,N,0,0,0,0,1,4,WBRI,0,Y,Y,Y,,9,8,1,1,1,,1,,1,1,,1,1,,1,1,1,1,1,,,,3,3,1,1,3,6,5,4,1,4,,12,12,7,4,3,4,3,4,54,2,2,,,,,,16,,12,,5,2,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,730195495,,65754e4e-5f98-47af-978b-5e0407c44503,N,0,0,0,0,1,3,WBRI,0,Y,Y,,,5,7,1,1,1,,,,,1,1,,,,,,,,,,,,5,6,4,4,0,6,3,0,0,0,4,9,4,1,1,0,3,2,0,16,2,2,0,0,,0,-1,2,-1,5,0,4,0,3,0,,,,,0,0,0,0,0
,,,,F,,15,401,1,760193862,,4f6f7e0d-c837-44e0-8969-c6ae7d99a6d1,N,1,0,0,1,1,2,WBRI,0,,,Y,,8,8,1,1,1,1,1,,1,1,1,,,,,,,,,,,,5,5,4,4,3,4,3,4,1,1,4,9,6,6,3,3,5,4,4,43,3,3,0,0,,1,0,15,0,14,0,12,1,4,0,4,-1,,,0,0,0,0,0
,,,,M,,15,401,1,680408877,,d0c4a47b-7c47-4fd8-b79d-6fb318174c50,N,0,0,0,0,2,4,WBRI,0,,,,,6,8,1,1,1,,,,1,,,1,1,,,,,,1,,,,5,6,3,4,2,5,6,4,1,0,5,6,10,2,4,2,4,3,3,32,2,3,-1,-1,,0,0,6,-2,10,-1,8,5,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,681300969,,8a4166d9-1eb3-4926-8405-9ffff36ba1d3,K,0,0,0,0,2,2,WBRI,0,,Y,,,8,7,1,1,1,,,,,,1,,,1,,,,,1,,,,5,5,5,5,3,1,4,4,1,1,5,5,10,3,2,2,3,2,0,35,3,2,-1,0,,-2,0,10,0,5,-2,5,1,5,0,,,5,1,0,0,0,0,0
,,,,M,,15,401,1,746640107,,65c511aa-b4cc-4e2f-a714-420382b00e60,N,0,0,0,0,2,3,APKN,0,Y,Y,Y,Y,8,8,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,5,4,4,5,3,7,3,0,8,5,9,13,6,3,3,5,4,4,59,2,2,0,0,,0,0,17,0,14,0,13,1,6,0,,,5,1,0,0,0,0,0
,,,,F,,15,401,1,797693111,,95e3f2d3-5f09-423f-a7a6-358a60210b5a,N,1,0,0,1,1,3,WBRI,0,Y,,,Y,8,8,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,,,,,2,1,6,2,4,8,8,5,4,8,7,8,8,7,5,4,2,55,3,2,0,0,,-1,0,24,1,13,0,15,0,4,1,5,0,4,0,0,0,0,0,0
,,,,F,,15,401,1,788331168,,8917c715-dff2-45ee-86b1-b442103f9868,N,0,0,0,0,2,2,AIND,0,,,Y,,9,7,1,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,4,6,4,4,5,7,5,2,1,6,4,15,12,5,2,5,6,6,5,64,3,3,1,1,,2,0,16,1,17,0,19,1,4,1,3,1,4,0,0,0,0,0,0
,,,,M,,15,401,1,819158726,,20c28033-ce99-4fba-90cf-d19b8b81e0f8,N,1,0,0,1,1,2,WOTH,0,,,,,7,6,1,1,1,1,,,,,,,,,,,,,,,,,3,,2,2,1,3,0,0,2,0,4,7,1,1,0,0,5,3,1,21,2,3,-2,-2,,0,-2,2,-3,11,-1,8,6,3,-3,,,,,0,0,0,0,0
,,,,M,,15,401,1,677387811,,698da07b-9985-4030-a76c-5e7df70dfdcd,N,0,0,0,0,1,3,APKN,0,Y,,,Y,9,9,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,3,4,5,6,7,5,6,6,4,9,12,6,6,4,6,6,4,50,2,3,0,0,,0,1,18,0,15,0,8,7,5,0,5,0,5,0,0,0,0,0,0
,,,,M,,15,401,1,629454521,,56b64ce7-0891-4c0d-995e-356f6080927c,K,0,0,0,0,2,2,APKN,0,,,,,8,7,,1,1,,1,,,,,,,,,,1,1,1,,,,,2,2,2,3,1,2,7,1,4,3,4,5,4,5,2,4,3,1,37,2,2,0,0,,-1,0,9,0,11,0,8,5,2,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,798887476,,0e43120c-ee3b-4cf9-b93d-2384ae4d9ac3,N,0,0,0,0,1,3,APKN,0,Y,Y,,,10,8,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,,,,5,4,4,4,8,8,8,8,4,7,5,17,17,9,8,7,8,8,6,86,2,3,0,0,,0,0,27,1,24,0,23,1,7,1,,,5,1,0,0,0,0,0
,,,,M,,15,401,1,804802949,,0332f7d6-d506-43f8-9bf7-c8f7fa75d1e9,N,0,0,0,0,2,3,AOTH,0,,,Y,,9,7,1,1,1,,,,1,,1,,1,,,,1,1,,,,,5,4,4,4,4,6,5,5,0,2,5,12,11,5,4,3,5,5,4,51,3,3,0,0,,0,0,16,0,14,-1,9,6,5,0,,,5,0,0,0,0,0,0
,,,,F,,15,401,0,787974675,,d2fa6aa1-b7e7-4221-a210-4f8e29bcf852,K,0,0,0,0,1,4,WBRI,0,Y,,,,8,7,1,1,1,1,,,1,1,1,,,,,,1,,,,,,4,6,2,1,5,9,7,2,2,1,,16,15,5,5,2,7,6,3,65,3,3,,,,,,14,,20,,19,2,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,584016368,,4b1e006e-3c1f-4e8b-8b02-70f14947045d,N,1,0,0,1,1,2,WBRI,0,Y,Y,Y,,5,6,,1,1,1,,,,,1,,,,,,,,,,,,2,,3,3,1,4,3,2,6,1,4,9,3,1,3,0,1,3,2,21,2,2,-1,-1,,-1,0,3,-1,5,-1,2,2,,,,,,,0,0,0,0,0
,,,,M,,15,401,1,746287531,,1b113ed5-9ca3-48d5-82e2-373089d8e983,N,0,0,0,0,2,2,ABAN,0,,,,,5,5,1,1,1,,,,,,,,,,,,,,,,,,,6,1,1,2,0,2,4,0,0,2,2,6,3,4,1,1,1,2,24,2,3,0,0,,0,0,8,1,4,-1,7,0,,,,,,,0,0,0,0,0
,,,,M,,15,402,1,610694628,,0ef732a3-bf3d-4190-aeab-d4545df70782,N,0,0,0,0,1,2,WBRI,0,,,Y,,6,8,,1,1,,1,,,,1,1,1,1,,1,,,1,,,,6,3,2,4,4,4,7,6,3,4,5,9,13,6,7,5,3,5,4,49,3,2,0,0,,-1,1,20,0,12,0,12,1,,,,,,,0,0,0,0,0
,,,,M,,15,401,1,725544134,,4b1e006e-3c1f-4e8b-8b02-70f14947045d,K,0,0,0,0,1,2,APKN,0,,,,Y,8,9,1,1,1,1,,,,,,,,1,,,,,1,,,,4,5,4,4,3,5,8,5,5,2,4,9,15,4,5,5,5,7,2,41,2,2,0,0,,-1,0,13,0,14,-1,12,2,3,0,4,0,,,0,0,0,0,0
,,,,M,,15,401,1,773799882,,7335653b-9d78-447a-ac3c-0e59143c0c26,N,0,0,0,0,2,1,WBRI,0,,,,,7,7,1,1,1,1,,,1,1,,,,,1,1,,,,,,,6,3,3,3,3,6,3,3,5,1,3,9,7,4,3,3,5,4,6,43,3,3,0,0,,1,0,12,0,16,0,17,2,2,0,3,0,,,0,0,0,0,0
,,,,F,,15,401,1,810218167,,63ee2f2a-06df-42bc-98de-92c858e5e9eb,N,1,0,0,1,1,3,WBRI,0,,,,,8,7,1,1,1,1,1,1,1,1,,,,,,,,,,,,,4,,4,3,3,3,2,3,3,3,4,6,4,4,4,3,4,2,3,33,3,3,-1,-1,,-2,-2,14,-1,9,-1,6,4,3,-1,3,-1,4,0,0,0,0,0,0
,,,,M,,15,401,1,729458827,,d49c3b61-97e8-44fa-a4b8-8a51538d5b35,N,0,0,0,0,2,2,BOTH,0,Y,,,,8,8,1,1,1,,1,,,,,,,,,,,,,,,,4,6,3,4,1,7,5,1,0,3,4,14,9,1,2,0,3,4,2,24,2,2,0,0,,0,-1,3,-1,10,0,11,2,5,-1,,,,,0,0,0,0,0
,,,,F,,15,401,1,734775151,,16fc50db-a2a3-4520-9d62-8d616f624889,N,1,0,0,1,1,2,WBRI,0,,,,Y,8,8,1,1,1,1,,,1,1,,,,,1,1,,,,,,,5,6,5,5,5,9,8,5,8,2,5,17,15,5,7,5,8,8,8,70,2,3,2,2,,3,1,15,1,24,4,21,6,5,1,4,3,5,0,0,0,0,0,0
,,,,F,,15,401,1,650730617,,fe1f6b7c-e1de-441a-9fb7-23787d45935c,E,0,0,0,0,2,2,WBRI,0,,,Y,Y,7,9,1,1,1,,1,1,1,1,1,,1,,,,1,,1,,,,5,5,5,5,3,9,1,3,1,4,4,13,1,3,2,2,6,4,1,40,3,2,1,1,,4,0,9,1,15,1,10,4,4,1,,,5,0,0,0,0,0,0
,,,,M,,15,401,1,735673443,,e9ac601d-2512-48fd-bfbc-550c71949809,N,1,0,0,1,1,3,WBRI,0,Y,Y,Y,Y,10,10,1,1,1,1,1,1,,,,,,1,1,1,1,1,,,,,4,6,5,4,6,5,5,7,8,6,5,11,11,6,7,8,7,7,7,60,3,3,0,0,,0,-1,21,1,20,1,22,1,6,0,5,0,5,1,0,0,0,0,0
,,,,M,,15,401,1,724818790,,cb4b4046-bd36-4917-8118-1a6c834556a3,S,0,0,0,1,1,3,WBRI,0,,Y,Y,Y,7,6,1,1,1,1,,,1,1,1,,,,,,,,,,,,5,5,4,4,4,6,6,5,2,1,5,15,12,5,5,5,6,5,3,56,3,2,0,0,,0,0,16,0,15,0,8,6,5,0,4,0,,,0,0,0,0,0
,,,,F,,15,401,1,730481913,,2e946457-1a7d-4ce5-ba20-8d93fc9da7c3,K,0,0,0,0,1,2,APKN,0,,,,,6,7,1,1,1,1,1,,1,,,,,,1,1,1,,,,,,,3,2,2,2,7,2,5,6,5,4,14,3,3,5,6,5,6,3,31,3,2,0,0,,0,-1,9,0,13,0,13,0,4,0,,,4,1,0,0,0,0,0
,,,,F,,15,401,1,804735911,,ee5311e5-f598-4514-9774-dd7775750319,N,0,0,0,0,1,3,APKN,0,,,Y,,10,9,1,1,1,,1,,1,,1,1,1,1,,,1,1,1,,,,5,3,3,3,8,8,9,8,0,4,5,18,18,9,8,8,9,8,7,88,3,3,1,1,,0,2,27,1,25,1,26,0,5,1,,,,,0,0,0,0,0
,,,,F,,15,401,1,718110076,,0705fe2f-ae0c-4b78-98bf-94e41e8a142b,N,1,0,0,1,1,2,WBRI,0,,Y,Y,Y,6,7,1,1,1,,1,,1,1,1,1,1,1,1,,,,,,,,5,5,5,4,4,7,4,3,1,4,4,15,8,6,3,1,4,1,1,49,2,2,0,0,,0,-1,16,0,10,-1,10,1,4,0,,,3,1,0,0,0,0,0
,,,,M,,15,401,1,759058640,,0a9ad4d2-1907-42a2-8000-75f94819b3ca,N,0,0,0,0,2,2,APKN,0,Y,,,,9,8,1,1,1,1,1,1,,,,,,1,1,1,,1,,,,,1,,1,1,4,1,6,5,6,4,4,4,12,5,6,4,7,4,2,46,2,3,0,0,,-2,0,17,0,16,0,12,4,4,0,,,,,0,0,0,0,0
,,,,M,,15,401,1,647997054,,e3c704aa-9222-468c-bbf8-54265e1d0ebd,K,0,0,0,0,1,3,WBRI,0,,Y,Y,Y,7,8,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,,,4,5,3,3,5,6,7,7,4,10,4,11,12,6,7,7,6,5,4,55,3,2,0,0,,0,0,16,1,17,0,16,3,,,,,3,0,0,0,0,0,0
,,,,M,,15,401,1,790223103,,940e3d00-0e73-42ca-935e-fad92f39dab8,K,0,0,0,0,1,2,WBRI,0,,,,,7,5,,1,1,1,1,,,,,1,,,,,,,,,,,4,4,3,3,3,0,5,4,3,4,3,2,11,4,5,3,2,3,3,33,3,3,0,0,,-2,0,10,0,9,-1,3,6,2,0,,,3,2,0,0,0,0,0
,,,,M,,15,401,1,747732924,,72e9f794-50e5-46f9-8b47-66ba29b846f2,N,0,0,0,0,1,3,WBRI,0,Y,Y,Y,,8,6,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,5,5,4,3,7,3,8,7,4,3,5,13,17,7,5,4,7,7,5,73,2,3,0,0,,0,1,20,0,19,0,15,6,6,0,,,5,0,0,0,0,0,0
,,,,M,,15,401,0,808205043,,db89f464-9690-4b35-8e1b-7af375aab13a,N,0,0,0,0,1,3,WBRI,0,Y,,Y,,8,6,1,1,1,1,,,1,,,,,,,,1,1,,,,,6,1,0,0,3,3,5,6,0,1,,7,12,6,5,3,5,5,4,42,3,3,,,,,,16,,15,,11,5,,,,,,,0,0,0,0,0
,,,,M,,15,401,1,639361067,,0d520f4f-b117-484f-8c84-163777f98922,K,0,0,0,0,1,3,WBRI,0,,,Y,Y,8,7,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,5,5,2,3,5,6,4,8,2,0,4,11,10,7,8,6,7,5,5,63,3,3,0,0,,0,0,22,0,19,1,17,5,4,1,,,,,0,0,0,0,0
,,,,F,,15,401,1,772751479,,f6485fa7-1984-4a83-8962-6c978ec99af3,N,0,0,0,0,1,3,WBRI,0,,,Y,Y,9,8,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,5,4,5,5,6,5,6,7,6,7,5,11,12,8,7,7,7,7,8,72,3,3,1,1,,0,0,22,1,22,2,13,2,6,1,5,1,4,1,0,0,0,0,0
,,,,M,,15,402,1,779027076,,4e46d521-9f8d-42f7-9318-66dc1843b0d9,N,0,0,0,0,2,3,WIRI,0,,,Y,Y,10,7,1,1,1,,1,,1,1,1,1,1,1,1,1,,,1,,,,5,5,5,4,7,3,6,7,1,3,5,14,15,8,5,6,7,8,7,79,3,3,0,0,,0,0,25,0,24,0,25,2,5,0,,,4,0,0,0,0,0,0
,,,,M,,15,401,1,789079942,,e8872440-2d57-4414-b872-02c43cbb5545,N,0,0,0,0,1,2,WBRI,0,,,Y,Y,11,9,1,1,1,,,,1,1,1,1,1,1,,,,,1,,,,4,4,5,5,7,5,6,8,1,0,5,13,15,9,8,6,10,8,8,83,3,3,1,1,,1,2,25,1,26,2,23,7,6,1,5,0,,,0,0,0,0,0
,,,,F,,15,401,1,774524712,,339555a2-fae6-44b4-97bf-452e79c1f2d1,N,0,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,6,6,1,1,1,,1,1,1,1,1,,,1,1,,1,1,,,,,5,5,3,4,4,8,5,4,3,4,4,14,11,5,4,2,7,4,3,58,2,2,1,1,,3,0,12,0,18,1,14,3,3,0,,,4,0,0,0,0,0,0
,,,,F,,15,401,1,680388982,,ae2bcc8f-3749-46d4-ae77-8ef6ca4d04c3,K,0,0,0,0,1,3,APKN,0,Y,,Y,Y,7,8,1,1,1,1,,,1,1,1,1,,,,,,,,,,,4,4,4,5,2,6,4,4,1,1,5,9,5,6,4,2,5,3,2,37,3,3,0,0,,0,0,15,0,12,0,11,2,5,1,5,0,,,0,0,0,0,0
,,,,F,,15,402,1,783494176,,58a175a7-8b01-466e-abff-b452577a317f,K,0,0,0,0,2,2,AIND,0,,,Y,Y,5,7,1,1,1,1,,,,,1,,,,1,1,,,,,,,6,,3,4,2,6,7,4,5,4,4,7,9,4,4,1,4,2,0,22,2,2,1,1,,0,0,10,1,8,0,4,6,3,1,3,1,,,0,0,0,0,0
,,,,M,,15,401,1,821550169,,ef0d1f16-7f1c-41cf-8bd7-70f6fed06754,N,0,0,0,0,2,2,WBRI,0,Y,,,Y,9,6,1,1,1,1,,,1,1,,1,1,1,1,1,,,1,,,,5,4,5,5,5,8,7,5,5,0,5,16,16,5,5,4,8,8,7,68,2,3,0,0,,0,0,17,0,23,1,14,9,5,0,6,0,,,0,0,0,0,0
,,,,M,,15,401,1,713228108,,3df03435-7cf3-4ce8-98e4-ff5306cf905f,N,0,0,0,0,2,3,ABAN,0,,,Y,Y,8,8,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,,,4,4,4,4,4,7,7,7,3,4,4,14,13,7,8,6,5,5,5,63,2,3,0,0,,0,1,23,1,17,0,13,1,3,1,4,0,4,1,0,0,0,0,0
,,,,F,,15,401,1,776735119,,16896832-53ca-4dd8-b713-c363acc550d2,N,0,0,0,0,1,3,APKN,0,,,Y,Y,10,11,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,5,4,4,4,8,9,8,7,8,3,5,18,17,8,8,8,8,8,8,87,3,3,0,0,,0,0,25,0,24,0,26,0,7,0,5,0,,,0,0,0,0,0
,,,,F,,15,401,1,668744383,,a7a4e749-0140-41c6-ac37-60e3b56e2725,K,1,0,0,1,1,2,APKN,0,Y,,Y,,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,5,4,5,5,7,9,8,4,8,3,5,17,16,8,6,5,7,6,5,78,3,3,1,1,,3,1,22,1,21,1,20,1,6,0,6,3,6,0,0,0,0,0,0
,,,,M,,15,401,1,700871630,,0645d7cc-d5bc-47a4-af18-7e0468620559,K,0,0,0,0,2,2,MWAS,0,Y,,Y,Y,9,8,1,1,1,1,,,1,1,1,1,1,,,1,,,,,,,5,4,4,5,5,7,4,4,5,1,5,10,8,5,4,4,5,6,6,56,3,3,0,0,,0,0,15,0,15,0,8,7,6,0,5,0,,,0,0,0,0,0
,,,,M,,15,401,1,787022219,,316b034d-9a07-42ed-9a77-d9b9e31e1fed,N,1,0,0,1,1,3,MOTH,0,Y,Y,Y,Y,8,10,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,5,5,5,7,9,8,7,8,8,5,16,15,9,8,8,6,7,6,74,3,2,1,1,,1,0,26,2,19,0,20,1,6,1,,,5,2,0,0,0,0,0
,,,,M,,15,401,1,631504633,,d4cf7bff-389e-4729-b7ee-02356a45ca98,K,0,0,0,0,1,3,AOTH,0,,,Y,Y,7,7,1,1,1,1,,,,1,1,1,,,,1,,,,,,,4,4,2,2,3,6,4,2,2,2,4,11,7,3,2,1,6,4,2,45,2,3,1,1,,1,2,7,0,15,1,14,3,,,,,,,0,0,0,0,0
,,,,F,,15,401,1,732213979,,a98008d6-41c9-459a-ad12-4dc7eb0190a1,N,0,0,0,0,1,1,APKN,0,,,,,7,10,1,1,1,1,,,1,,,,,,1,1,,,,,,,4,4,5,5,2,5,3,3,7,0,4,4,3,1,4,4,3,4,4,19,3,3,0,0,,0,0,6,0,9,0,7,1,5,0,5,0,,,0,0,0,0,0
,,,,F,,15,401,1,718144801,,3d23be31-581b-4ac7-aa03-ba7fd178ad7b,N,0,0,0,0,1,3,WBRI,0,Y,,Y,Y,10,10,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,4,5,4,4,7,7,8,8,8,5,5,15,15,9,8,8,9,8,8,83,3,3,1,1,,0,1,27,1,26,1,27,0,7,1,6,0,,,0,0,0,0,0
,,,,M,,15,401,1,761065314,,229b0c20-b405-4de9-8a31-f16860ff082b,N,0,0,0,0,1,2,WBRI,0,,,,,7,9,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,,,4,3,4,4,4,6,3,3,8,4,4,10,6,6,3,3,5,2,4,46,3,3,0,0,,1,0,16,0,11,-1,17,0,4,0,4,0,,,0,0,0,0,0
,,,,M,,15,401,0,618439548,,8d1ec93d-6c84-4067-aedc-5faba7f99f91,N,0,0,0,0,1,3,APKN,0,Y,,Y,,7,7,1,1,1,,,,1,1,,,1,,,,,1,,,,,,3,1,1,4,2,8,5,0,1,,5,15,7,4,2,6,7,3,55,2,3,,,,,,17,,15,,11,4,,,,,,,0,0,0,0,0
,,,,M,,15,401,1,717138274,,19327224-3284-4379-ac75-50ef7283b4d1,N,0,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,9,10,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,5,4,4,7,5,8,8,6,8,5,11,17,8,8,6,7,6,5,77,2,3,0,0,,0,0,22,0,19,0,23,0,7,2,,,5,1,0,0,0,0,0
,,,,M,,15,401,1,696902820,,450928bd-d4d4-4bf0-b99f-8d60a2bfa694,N,0,0,0,0,1,1,WBRI,0,,,Y,Y,8,8,1,1,1,,,,1,1,1,1,1,1,,,1,1,,,,,4,5,5,5,5,6,7,7,1,2,3,12,15,5,6,4,7,5,7,67,3,3,1,1,,1,1,16,1,20,1,23,2,3,1,3,0,4,1,0,0,0,0,0
,,,,F,,15,401,1,761016787,,e280de72-0262-4dc9-a91b-cba121264c09,N,1,0,0,1,1,3,WBRI,0,Y,Y,Y,Y,12,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,3,4,4,9,9,8,9,5,5,5,18,18,9,8,8,9,8,8,91,3,3,1,1,,2,0,27,0,27,1,26,2,6,0,6,0,5,0,0,0,0,0,0
