candidate_number,forvus_index_number,surname,forename,gender,date_of_birth,age,pupil_inclusion_status_flag,pupil_included_in_progress_8_calculations,la_establishment_number,school_urn,upn,sen,has_the_pupil_been_eligible_for_fsm_in_the_last_6_years,is_the_pupil_looked_after,is_the_pupil_disadvantaged,eal_group,ks2_prior_band,students_ethnicity,did_the_pupil_join_within_the_last_2_yrs,took_english_bacc_9_4,took_english_bacc_9_5,took_english_and_maths_gcses_9_4,took_english_and_maths_gcses_9_5,entries,gcse_entries,entry_english_ebacc,entry_maths_ebacc,entry_science_ebacc,entry_humanities_ebacc,entry_language_ebacc,entry_all_ebacc,achieved_english_ebacc_9_4,achieved_english_ebacc_9_5,achieved_maths_ebacc_9_4,achieved_maths_ebacc_9_5,achieved_science_ebacc_at_grade_9_4,achieved_science_ebacc_at_grade_9_5,achieved_humanities_ebacc_at_grade_9_4,achieved_humanities_ebacc_at_grade_9_5,achieved_language_ebacc_at_grade_9_4,achieved_language_ebacc_at_grade_9_5,entry_triple_science,entry_multiple_languages,ks2_reading_level_finely_graded,ks2_mathematics_finely_graded,ks2_reading_ta_level,ks2_mathematics_ta_level,ks2_reading_ps,ks2_maths_ps,pupil_level_ebacc_average_point_score,point_score_in_english_ebacc_subject_area,point_score_in_maths_ebacc_subject_area,point_score_in_science_ebacc_subject_area,highest_point_score_achieved_in_humanities_ebacc_subject_area,highest_point_score_achieved_in_language_ebacc_subject_area,prior_attainment_score_in_english_and_mathematics,score_achieved_in_english,score_achieved_in_mathematics,score_achieved_in_1st_ebacc_slot,score_achieved_in_2nd_ebacc_slot,score_achieved_in_3rd_ebacc_slot,score_achieved_in_1st_open_slot,score_achieved_in_2nd_open_slot,score_achieved_in_3rd_open_slot,attainment_8_score,ebacc_slots_filled,open_slots_filled,pupils_adjusted_progress_8_score,pupils_unadjusted_progress_8_score,pupils_progress_8_score_has_been_adjusted_due_to_extreme_negative_score,progress_8_score_for_english,progress_8_score_for_mathematics,score_achieved_in_ebacc_slots,progress_8_score_for_ebacc_slots,score_achieved_in_open_slots,progress_8_score_for_open_slots,total_score_achieved_in_open_slots_gcses_only,total_score_achieved_in_open_slots_non_gcses_only,ks2_4_predicted_ps_for_ebacc_science_va,ebacc_science_va_score,ks2_4_predicted_ps_for_ebacc_humanities_va,ebacc_humanities_va_score,ks2_4_predicted_ps_for_ebacc_language_va,ebacc_language_va_score,pupil_level_science_pathway_flag
,,,,F,,15,401,1,756644306,,bddce088-3bee-4281-b75c-ac5fd674206d,N,1,0,0,1,3,WBRI,0,Y,Y,Y,Y,12,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,5.727272727,4,4,4,4,8,8,6,8,8,3,5,17,18,8,7,8,8,8,8,89,3,3,0,0,,0,0,25,0,26,1,26,2,7,0,6,0,,,0
,,,,F,,15,402,1,764920600,,3b7f603f-7334-48fe-841c-38b6f5950b51,K,1,0,1,1,2,BAFR,0,,,,,10,8,1,1,1,1,,,,,,,,,,,,,,,4.846153846,4.545454545,,4,5,5,5,5,4,4,5,1,4,14,12,5,4,3,5,6,6,61,3,3,0,0,,0,0,14,0,19,0,17,2,3,0,4,-2,4,1,0
,,,,M,,15,401,1,750853451,,db0340d7-e079-422c-9f86-db35c803d5ce,N,0,0,0,1,2,APKN,0,Y,,Y,,7,7,1,1,1,1,,,1,1,1,,,,,1,,,,,4,5.318181818,5,5,5,5,1,2,3,0,1,0,4,2,6,4,0,0,3,0,0,23,2,2,0,0,,0,0,7,0,1,0,0,2,5,0,5,0,,,0
,,,,M,,15,401,1,761190437,,797c54c9-f2ea-41ce-91b4-3d714cc6fc71,N,0,0,0,1,3,MWBC,0,Y,Y,Y,Y,6,7,1,1,1,,1,1,,,,1,,1,,,1,1,,,4.846153846,5.772727273,3,4,3,3,1,3,2,0,1,6,4,6,5,0,0,0,4,1,1,21,2,2,-2,-2,,-2,-1,0,-3,5,-1,4,2,,,,,4,1,0
,,,,M,,15,401,1,730904950,,e07ce142-04b8-4f9a-a230-09dbf41b818c,N,0,0,0,2,2,APKN,0,Y,Y,Y,Y,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.846153846,,4,6,5,5,8,7,6,8,8,7,5,16,15,10,7,8,7,7,7,88,3,3,1,2,,1,1,27,3,22,2,22,0,7,2,7,1,6,-1,0
,,,,M,,15,401,1,625600397,,b8c7e2ae-ead1-4af6-9875-95e9e5c487d4,N,0,0,0,1,2,APKN,0,Y,Y,Y,,8,6,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,,4.615384615,4.96969697,,6,4,4,4,7,5,7,7,2,5,13,10,8,7,6,8,7,6,73,3,3,2,2,,1,1,22,2,23,2,19,6,7,2,7,2,,,0
,,,,M,,15,401,1,806104680,,303ffdd0-8550-4343-a940-eb94a2678243,N,0,0,0,1,4,APKN,0,Y,Y,Y,Y,12,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.526315789,,5,5,4,4,9,8,8,8,8,5,5,17,20,10,8,8,8,8,8,90,3,3,1,1,,0,1,28,0,26,1,25,3,7,0,7,0,5,2,0
,,,,M,,15,401,1,718883069,,76767485-db1b-40fb-b4e1-bd2b5dced42f,N,0,0,0,1,2,APKN,0,,,,Y,6,6,1,1,1,,1,,1,1,1,1,1,,,,,,1,,4.153846154,4.818181818,4,4,3,4,3,7,6,6,1,3,4,13,11,5,5,1,7,6,3,58,2,2,1,1,,1,2,16,1,17,1,9,2,3,2,,,,,0
,,,,F,,15,401,1,796850662,,4b75f367-7f72-4e06-8952-552c725b97fe,K,1,0,1,2,2,APKN,0,,Y,Y,Y,8,7,1,1,1,1,,,,,,,,,,,,,,,4.692307692,3.5,,4,4,4,3,6,1,4,4,0,4,12,6,4,4,4,7,6,6,45,3,3,0,0,,0,-1,14,0,16,0,15,3,3,-1,4,0,,,0
,,,,M,,15,401,1,797854486,,6e934e2f-2f64-4cf0-b856-d43f49db7bed,K,0,0,0,2,3,BAFR,0,Y,,,,9,5,1,1,1,1,,,1,,,,,,1,,,,,,4.692307692,5.181818182,4,6,3,2,4,6,1,3,3,1,5,15,9,6,4,2,5,3,2,58,3,3,0,0,,0,0,16,0,12,0,9,5,4,0,4,0,,,0
,,,,F,,15,401,1,793782777,,a2563690-208b-4ebe-9b84-3f4de7d510a1,N,0,0,0,2,4,WBRI,0,,,,Y,9,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.473684211,5.727272727,5,5,5,5,6,8,10,8,8,6,5,12,17,9,8,8,7,6,4,71,3,2,0,0,,-1,0,24,0,20,0,20,1,7,0,6,0,5,0,0
,,,,M,,15,401,1,792723514,,84d7f8c2-2638-45c9-acdd-1819efaca67f,N,0,0,0,1,2,APKN,0,,,,,9,8,1,1,1,1,,,1,,1,,1,,1,1,,,,,5.105263158,4.848484848,4,4,5,5,6,6,5,5,7,0,4,12,13,7,4,4,5,6,5,60,3,3,1,1,,0,1,20,1,18,1,11,6,3,0,3,2,,,0
,,,,M,,15,401,1,700226758,,af3e00f2-a511-4b01-9144-796bb1bca5be,N,0,0,0,1,2,APKN,0,Y,Y,Y,Y,10,9,1,1,1,1,,1,1,1,1,1,,,,1,,,1,,5,4.575757576,4,6,5,4,4,6,3,6,4,3,4,12,7,4,6,5,5,5,7,57,2,3,0,0,,0,0,13,0,20,0,15,4,4,0,4,0,,,0
,,,,M,,15,401,1,803345191,,c0002c43-e7ba-4c70-9c7f-e14b3a5bb6bf,N,0,0,0,1,2,WBRI,0,,,,Y,9,9,1,1,1,1,,,1,1,1,1,,,,,,,1,,3.714285714,4.575757576,5,4,5,5,4,7,6,5,2,0,5,14,15,5,6,6,5,5,6,62,3,3,0,0,,0,0,17,0,15,0,16,3,4,0,4,-1,,,0
,,,,F,,15,401,1,735134841,,1e79b755-300e-4437-b1ca-7f064f10c15b,N,0,0,0,2,1,WBRI,0,,,,,8,7,1,1,1,,,,,,,,,,,,,,,,3.285714286,3.535714286,4,6,3,3,1,5,0,0,1,0,3,9,2,4,2,0,5,5,2,25,2,3,0,0,,1,0,10,1,10,1,9,2,2,0,,,,,0
,,,,M,,15,401,1,738546815,,b244df46-34d4-43dd-8612-ad4be4a84fff,N,0,0,0,1,1,APKN,0,,Y,Y,,8,8,1,1,1,1,,,,1,,,,1,1,1,,1,1,,4.076923077,4.757575758,2,6,4,5,2,4,4,3,2,0,4,7,7,4,4,1,4,3,2,38,2,2,0,0,,0,1,9,0,12,0,7,4,3,-1,4,0,,,0
,,,,M,,15,401,1,746784414,,c53fb621-410e-4edf-b354-aa8a93a513f7,N,0,0,0,2,4,AOTH,0,Y,,Y,,9,12,1,1,1,,1,1,1,1,1,,1,1,,,1,1,1,,5.578947368,5.636363636,4,6,2,2,5,7,8,7,3,6,5,13,13,5,5,5,5,6,3,53,2,2,0,0,,0,0,16,0,14,0,13,0,,,,,5,0,0
,,,,F,,15,401,1,687897774,,de5189f3-4133-420c-a8c4-3fbd6989593b,N,1,0,1,2,3,AIND,0,,,Y,Y,8,9,1,1,1,,1,,1,1,1,1,1,1,,,1,,,,5.157894737,5.681818182,,4,3,4,2,7,6,5,2,4,4,10,8,5,4,2,3,4,5,37,2,3,0,0,,0,0,13,0,11,0,7,1,5,0,,,5,0,0
,,,,F,,15,401,1,669999590,,8aea90e1-d8f1-4212-96e9-536910b64401,N,1,0,1,2,3,AIND,0,,,,,6,6,1,1,1,,,,,,,,,,,,,,,,5,5.272727273,4,2,2,3,3,5,1,7,1,1,5,10,4,3,5,4,3,5,4,31,2,3,-1,-1,,-2,0,9,-1,17,-2,20,1,6,0,,,,,0
,,,,F,,15,401,1,767820026,,fc33892d-c373-466d-a8ce-3cfed8bcb3e1,N,0,0,0,1,4,WBRI,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,5.578947368,,4,,4,5,8,9,8,8,6,9,5,18,18,9,8,8,8,8,7,88,3,3,0,0,,0,0,27,-1,24,-1,24,1,8,-1,7,-2,7,0,0
,,,,F,,15,401,1,772242811,,5dcb70ad-3252-4e09-abf8-c29d3f1e229d,N,0,0,0,1,3,APKN,0,Y,,Y,Y,9,8,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,,5.526315789,5.590909091,4,5,5,5,7,8,7,6,1,7,5,17,14,8,6,8,8,8,7,82,3,3,0,0,,0,0,23,0,25,1,21,4,7,0,,,6,2,0
,,,,F,,15,401,1,762485796,,6da850fa-ad3a-46e0-bf44-ee6986b1dbb7,N,0,0,0,1,2,WBRI,0,,,,,7,6,1,1,1,,,,,1,1,,,,,,,,,,4.153846154,3.928571429,,4,4,4,1,4,2,2,0,0,4,8,5,1,0,0,4,4,2,29,2,2,0,0,,1,0,2,0,13,1,5,8,2,0,,,,,0
,,,,M,,15,401,1,661196078,,55a9d88d-06cf-4c36-9da8-85ea8d6d8853,K,0,0,0,2,4,APKN,0,,,Y,Y,7,8,1,1,1,,1,,1,1,1,1,1,1,,,,,,,5.473684211,5.590909091,5,5,3,4,3,6,8,3,2,4,5,10,11,4,5,4,7,4,2,51,2,2,-1,-1,,-1,0,12,-2,14,-2,7,6,,,,,,,0
,,,,M,,15,401,1,586928958,,1418b0c1-b550-436c-bef5-efd63ba35629,K,0,0,0,2,3,AIND,0,Y,Y,Y,Y,8,10,1,1,1,,,,1,,1,,,,,,,,1,,4.461538462,5,,5,3,2,1,2,4,1,2,1,3,2,7,5,1,2,1,0,3,25,3,3,1,1,,1,2,9,2,4,1,5,1,2,1,,,,,0
,,,,M,,15,401,1,647528758,,a1bfe1c7-372c-4279-a7bb-b54abe521528,K,1,0,1,1,2,WBRI,0,Y,,Y,Y,7,9,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,5.368421053,4.909090909,4,4,5,4,5,8,5,7,7,8,4,14,9,3,6,8,8,5,4,54,3,2,0,0,,0,0,13,0,18,0,14,1,4,0,3,0,5,1,0
,,,,M,,15,401,1,742311487,,a782dd02-c0ad-4c78-92c4-09732ec3f85c,N,0,0,0,2,2,OOTH,0,Y,Y,Y,Y,10,10,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,5.578947368,5.5,4,,3,4,7,8,8,8,8,1,4,16,15,8,7,6,7,7,5,81,3,3,2,2,,2,2,25,2,20,1,18,2,4,1,,,,,0
,,,,F,,15,401,1,810370459,,239ee08e-c517-4b41-b163-dbc2fa20189b,N,0,0,0,2,3,APKN,0,,,Y,,6,5,1,1,1,1,1,,1,,1,,,,1,,,,,,5.473684211,4.484848485,4,5,4,4,3,2,2,1,4,0,4,5,9,4,1,2,2,3,1,37,3,3,-1,-1,,0,-2,10,0,5,-1,5,1,2,0,2,0,,,0
,,,,F,,15,401,1,785465480,,dbb2b5ab-0624-4cb2-be99-6a47953a3e21,N,1,0,1,1,3,WOTH,0,Y,Y,Y,Y,11,12,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,4,6,3,4,8,8,9,9,5,4,5,17,17,8,8,8,8,8,8,85,3,3,3,3,,2,4,26,2,25,2,23,1,5,2,,,,,0
,,,,M,,15,401,1,619812594,,3cc72db3-e664-4a50-9506-b714bd9b8bc3,K,0,0,0,2,2,WBRI,0,Y,,,,5,5,1,1,1,,,,,,,,,,,,,,,,4,4.121212121,6,2,3,4,1,3,1,3,3,1,4,6,3,0,2,3,2,1,0,15,1,2,-1,-1,,0,0,1,0,6,-1,5,2,3,0,,,,,0
,,,,F,,15,401,1,757583196,,3072ec71-0c33-440d-93cd-20022208408b,N,0,0,0,2,2,APKN,0,Y,,,,9,10,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,,5.684210526,5.954545455,4,4,5,5,5,5,8,4,8,5,5,7,13,8,6,3,6,6,5,55,3,3,0,0,,0,1,23,1,16,0,9,3,7,1,7,0,6,-1,0
,,,,M,,15,401,1,777526333,,d85c813f-35e3-4d5f-b392-0a5bb2326cd3,N,0,0,0,1,2,WBRI,0,,,Y,Y,10,8,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,,2.5,5.545454545,5,4,5,5,5,7,4,7,2,5,5,17,11,6,5,5,4,6,4,69,3,3,0,0,,0,0,15,0,19,0,16,5,6,0,5,-2,4,0,0
,,,,M,,15,401,1,730069717,,0fa1121c-d6c8-436e-8843-9f6b448172e7,N,0,0,0,1,3,AIND,0,,,Y,Y,8,8,1,1,1,,,,,1,1,1,1,1,,1,,,1,,5.105263158,5.545454545,,5,3,4,5,6,4,4,1,1,5,15,12,5,6,2,8,4,3,64,2,2,0,0,,0,0,15,0,17,0,17,0,5,0,,,,,0
,,,,F,,15,401,1,820468838,,c497564a-abca-4bc3-afd7-06a543279b59,N,1,0,1,1,3,AIND,0,,,Y,Y,11,7,1,1,1,1,1,,1,1,1,1,1,,1,1,,,1,,5.105263158,4.727272727,5,4,4,4,7,8,5,5,3,2,4,17,14,8,6,6,7,6,6,81,3,3,1,1,,2,1,23,1,21,1,12,9,3,0,3,1,,,0
,,,,M,,15,401,1,766197807,,e9d2f796-ac80-4a72-827b-3202ccbbe7da,K,0,0,0,1,3,WBRI,0,,,,,8,7,1,1,1,1,,,1,,,,,,,,,,,,5,5.318181818,4,5,3,3,3,4,1,2,1,0,4,8,7,5,1,0,0,0,0,28,3,3,-1,-1,,0,0,13,0,2,-1,2,2,3,-1,3,-1,,,0
,,,,M,,15,401,1,766595248,,a4259219-3981-48de-a964-c6b2306a0f51,K,0,0,0,1,2,APKN,0,,,,,8,8,1,1,1,1,,,1,,,,,,,,,,,,5.684210526,4.727272727,5,5,4,4,4,6,4,5,4,0,4,12,9,4,6,5,6,6,5,50,3,3,0,0,,1,0,17,0,20,0,18,0,3,0,3,2,,,0
,,,,F,,15,401,1,767097089,,38544aa0-e5df-489e-8a81-8ec3fcab9890,N,0,0,0,1,3,WBRI,0,Y,,Y,Y,7,7,1,1,1,1,,,1,1,1,,1,,1,1,,,,,5.473684211,5.136363636,5,5,4,4,4,8,6,5,8,1,4,14,10,4,4,5,8,6,7,53,3,3,0,0,,0,0,13,0,22,1,21,7,3,0,3,1,,,0
,,,,M,,15,401,1,717387700,,b24ab873-d219-4cfe-8ddc-e4693b8c5075,N,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,9,9,1,1,1,,,,1,1,1,1,1,1,,1,,,1,,5.315789474,4.696969697,5,5,4,4,4,4,5,2,1,1,4,8,11,4,1,1,5,5,5,49,2,3,0,0,,-1,0,12,-1,14,0,11,2,4,-1,,,,,0
,,,,M,,15,401,1,786335357,,2a4c5827-34b0-42e4-899e-7d55a8f9e219,N,0,0,0,2,3,WBRI,0,,,Y,Y,11,10,1,1,1,1,1,,1,1,1,1,1,,,,1,,,,4.615384615,5.681818182,W,6,4,5,6,5,9,6,7,5,5,9,18,8,7,8,7,6,7,72,3,3,2,2,,0,3,25,3,21,1,20,2,6,2,5,1,6,1,0
,,,,M,,15,401,1,818465018,,dba4f871-c5c3-4cf5-af59-e06da88b2d07,N,1,0,1,2,3,APKN,0,Y,Y,Y,Y,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.421052632,5.272727273,3,5,5,5,7,9,7,6,4,5,5,18,15,8,5,6,8,8,8,82,3,3,1,1,,3,0,24,0,25,1,23,3,6,0,6,0,5,0,0
,,,,F,,15,401,1,803405773,,7ed3e569-c2fd-419c-b1f8-0168b9b688a7,N,0,0,0,2,3,REFU,0,,,,,10,9,1,1,1,1,1,1,1,,,,1,,1,1,,,1,,5.368421053,4.848484848,4,4,3,3,7,8,5,8,5,3,5,16,13,7,7,7,7,7,7,66,3,3,1,1,,1,0,22,1,24,0,25,4,5,0,6,0,5,-1,0
,,,,M,,15,401,1,798818015,,b19891ca-d56c-4891-bade-758f9b6007fc,N,0,0,0,2,4,AOTH,0,Y,Y,Y,Y,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.421052632,5.818181818,5,4,4,5,9,9,9,8,7,10,5,18,20,10,8,8,8,8,8,91,3,3,2,2,,2,1,28,2,26,2,26,0,5,1,,,5,1,0
,,,,M,,15,401,1,673369644,,dc887fad-d4c7-4736-a742-f4c3cc99ea38,K,0,0,0,1,2,AIND,0,Y,Y,,,5,8,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,,5.789473684,5.590909091,5,5,5,5,3,5,7,2,4,5,5,7,10,5,3,1,4,0,0,28,2,2,-1,-1,,-2,0,12,0,2,-2,3,0,7,0,7,0,5,1,0
,,,,M,,15,401,1,765613768,,1c04ce03-d81a-45ea-a016-9e60b535d34e,N,0,0,0,1,3,WBRI,0,Y,Y,Y,Y,10,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5.473684211,4.848484848,5,5,5,5,6,7,7,5,6,5,4,14,15,9,8,6,8,7,4,81,3,3,1,1,,2,1,24,1,20,2,13,3,4,1,3,1,4,2,0
,,,,M,,15,401,1,748477423,,051dc3f5-9de3-4095-a7ae-3520ab1da8bd,N,0,0,0,1,4,AIND,0,Y,Y,Y,Y,11,11,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,5.368421053,5.818181818,5,4,4,4,5,3,7,5,8,4,5,7,14,6,7,6,5,6,6,60,3,3,0,0,,-1,0,20,0,16,-1,14,3,6,0,6,0,5,1,0
,,,,M,,15,401,0,648162638,,6c785d8e-3b28-470f-a00a-f4973bf941f3,N,0,0,0,1,3,APKN,0,Y,Y,,,6,7,1,1,1,1,1,1,,,,,,,,,1,,,,5.368421053,5.454545455,6,1,1,2,2,6,4,7,8,7,,9,4,3,6,6,6,7,5,35,2,2,,,,-2,-1,11,-1,17,,15,1,,,,,5,-1,0
,,,,F,,15,401,0,650617709,,488bf792-61c5-4e18-803a-e80d1c6f12ef,N,0,0,0,2,3,REFU,0,,Y,,,6,6,1,1,1,,,,1,,,,,,,,,,,,5.105263158,5.090909091,3,,0,0,1,4,0,2,1,0,,8,2,1,2,1,5,2,0,20,2,2,,,,0,-1,5,-1,2,,1,1,,,,,,,0
,,,,M,,15,401,1,747868700,,fef0c516-0f7e-4a37-a0b5-eb64c462f1ea,N,0,0,0,1,3,AOTH,0,,,Y,Y,9,10,1,1,1,1,1,,1,1,1,1,1,,,,,,1,,5.631578947,5.954545455,5,5,4,3,4,7,6,6,2,3,4,14,12,7,7,3,6,5,4,60,3,3,1,1,,0,0,20,0,17,1,13,5,3,1,3,-1,4,1,0
,,,,M,,15,401,1,760359429,,fb5720bf-8c3c-4de6-8210-739b704079d8,N,0,0,0,1,3,APKN,0,,,Y,Y,9,9,1,1,1,1,1,1,1,1,,1,,,1,,,,1,,5.526315789,5.318181818,4,4,4,4,6,9,5,4,8,5,5,17,10,6,4,4,5,7,5,62,3,3,0,0,,2,0,17,-1,20,0,19,3,5,-2,5,0,5,-1,0
,,,,F,,15,401,1,681226213,,60914281-665f-42ae-bb89-1a497ec07e12,N,0,0,0,1,3,WBRI,0,,Y,Y,Y,9,10,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,4.307692308,5.590909091,5,4,5,5,6,9,9,8,6,6,5,16,15,9,8,9,8,8,8,84,3,3,0,0,,0,0,26,0,25,1,22,3,7,0,6,0,6,0,0
,,,,F,,15,401,1,651787052,,601a5576-4030-4aaf-8869-465c80208063,N,1,0,1,2,2,WOTH,0,,,Y,,4,5,1,1,1,,,,,,,,,,,,,,,,4.846153846,4.484848485,4,4,3,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,2,-2,-3,,-3,-3,0,-3,0,-2,0,1,2,-2,,,,,0
,,,,M,,15,401,1,779099857,,28437a2a-970e-4756-8076-a1627e36f9af,N,0,0,0,1,3,OOTH,0,,,Y,Y,9,9,1,1,1,1,1,,1,1,1,1,,1,,,1,,1,,5.631578947,5.227272727,5,5,4,4,5,3,8,7,6,2,5,5,14,7,7,5,7,6,4,58,3,3,0,0,,-1,0,18,0,15,0,10,3,4,0,4,0,,,0
,,,,M,,15,401,1,751954524,,6e970040-5d6a-4039-8ab0-4a5be7d41bad,N,0,0,0,1,2,WBRI,0,,Y,Y,Y,11,12,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,4.153846154,4.060606061,5,5,5,5,7,7,6,8,6,5,4,14,15,9,8,8,8,7,6,77,3,3,1,1,,1,0,25,2,23,1,23,0,4,0,2,2,4,2,0
,,,,M,,15,401,0,743732885,,f70a014a-6289-407a-a7e2-13c30b797635,N,0,0,0,1,4,WBRI,0,Y,Y,Y,Y,9,9,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,,5.454545455,4,5,1,2,5,5,8,6,4,2,,9,16,7,6,4,7,6,2,65,3,3,,,,0,1,19,0,12,,10,1,,,,,,,0
,,,,M,,15,401,1,807475285,,a65b6248-2060-4b61-a189-3e23c1d2a2c9,N,0,0,0,1,3,WBRI,0,,,,,7,6,1,1,1,1,1,,,,,,,,,,,,,,4.923076923,5,5,5,4,4,2,1,1,1,0,1,5,2,5,4,0,0,2,0,0,22,2,2,-1,-1,,-2,-1,6,-1,6,-2,7,1,4,-1,4,0,4,-1,0
,,,,F,,15,401,0,712323466,,f8913142-fa7b-49da-a4f5-2a9a0a71e8eb,N,0,0,0,1,4,AIND,0,,Y,,Y,9,9,1,1,1,1,,1,,,,,,,,1,,1,1,,5,5.863636364,,5,1,2,3,4,5,4,4,2,,9,10,5,4,4,3,1,1,38,3,2,,,,-1,0,14,0,5,,4,2,,,3,0,,,0
,,,,M,,15,401,1,809980700,,d2116d24-3251-4eb1-ab55-8a27ce3bde5e,N,0,0,0,2,3,WOTH,0,,,Y,Y,11,10,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,,5.863636364,5,5,5,5,7,7,4,5,2,2,5,15,13,7,2,5,6,8,6,77,3,3,0,0,,1,-1,20,0,23,1,22,1,5,-1,4,0,4,0,0
,,,,M,,15,401,1,777783822,,15e88779-6fb3-47fc-bddd-61511c4d56c9,N,1,0,1,1,3,APKN,0,,,,,7,8,1,1,1,1,,,1,1,,,,,,,,,,,5.105263158,5.545454545,2,,3,4,1,8,1,1,2,1,5,14,3,2,2,1,6,5,2,33,2,2,0,0,,0,-2,5,-1,11,0,5,1,5,-1,,,,,0
,,,,F,,15,401,1,773975514,,35fb65c4-1d4d-4030-9a37-cbefbed04a0a,N,0,0,0,1,2,MWAS,0,,Y,Y,,8,9,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,,5.736842105,5.090909091,4,3,5,5,6,8,8,7,5,5,5,16,14,7,6,6,7,5,6,70,3,3,0,0,,0,0,21,0,18,0,14,2,6,1,5,0,6,0,0
,,,,F,,15,401,0,791239699,,669cef5f-da12-4535-b82c-cff7a72ca315,E,0,0,0,1,4,MOTH,0,Y,Y,Y,Y,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5,4,1,3,8,6,8,8,8,8,,13,18,9,8,8,8,8,6,87,3,3,,,,0,0,26,1,23,,22,1,,,7,0,5,0,0
,,,,M,,15,401,1,708432194,,0f57342e-a560-4259-a48a-7debf743b547,N,0,0,0,1,3,AIND,0,Y,Y,Y,,9,9,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,5.105263158,5.727272727,3,5,3,4,6,8,5,7,4,5,4,17,13,7,7,6,7,6,6,72,3,3,0,0,,0,0,21,1,21,0,24,0,4,1,,,5,2,0
,,,,F,,15,401,1,670844386,,e75c858a-ecca-470b-952f-2505bf581950,N,0,0,0,1,4,MOTH,0,Y,,,,9,9,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.473684211,5.818181818,5,4,3,4,8,6,9,8,3,8,5,13,19,10,8,8,8,8,7,89,3,3,1,1,,0,2,28,1,26,1,26,1,6,1,,,5,-1,0
,,,,F,,15,402,1,726567457,,5174a4d8-826e-467c-94cc-a42e9f7c4538,N,0,0,0,1,2,WOTH,0,,Y,,,8,7,1,1,1,1,,,1,,,,,,,,,,,,4.153846154,4.181818182,,4,3,3,4,7,3,6,2,3,4,15,9,6,4,5,4,4,0,49,3,2,1,1,,4,1,16,1,8,0,7,2,4,0,,,,,0
,,,,F,,15,401,1,818158293,,ae5bd188-6495-47ff-b484-b05ee80dfbcd,N,0,0,0,2,4,APKN,0,,,,,9,8,1,1,1,,1,,,,1,1,1,,,,1,1,1,,5.315789474,5.863636364,4,5,4,4,5,6,5,5,2,4,4,14,13,7,6,8,6,7,4,64,3,3,1,1,,0,1,20,1,21,0,23,1,3,1,,,4,0,0
,,,,F,,15,401,1,739620426,,db74f8e9-2e8d-41c1-b874-5978168a5245,K,0,0,0,1,2,WBRI,0,,,Y,Y,9,10,1,1,1,1,,,1,1,1,1,1,1,1,,,,1,,5.368421053,4.090909091,5,6,3,3,4,4,6,4,6,2,4,8,11,5,5,4,6,5,6,56,3,3,1,0,,0,1,16,0,17,0,16,1,4,2,5,0,,,0
,,,,M,,15,402,0,787145983,,92a5968d-8888-4852-9f28-cf21a030ab4f,N,0,0,0,2,3,APKN,0,Y,,,,7,6,1,1,1,,1,,1,,1,1,,1,,,,1,,,5.157894737,5.727272727,,3,1,1,3,3,5,3,1,3,,5,9,3,4,4,4,1,1,34,3,2,,,,0,2,11,1,11,,4,4,,,,,,,0
,,,,F,,15,401,1,797595483,,b612f889-76bf-4ce2-b7d6-ed3cf2d910e3,N,1,0,0,1,3,BAFR,0,Y,,Y,Y,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5.578947368,5.636363636,4,4,3,3,8,8,7,8,9,4,5,18,17,7,8,8,8,8,8,88,3,3,0,0,,1,0,24,0,25,0,24,5,6,0,6,0,5,0,0
